korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
걸다,geolda,hängen,A1,Verb,저는 방에 그림을 걸어요.,Ich hänge ein Bild im Zimmer auf.,Zuhause,a1_verbs_daily_1,1,false,to hang,Verb,I hang a picture in the room.,vocab_a1_0715
그리다,geurida,zeichnen,A1,Verb,저는 그림을 그려요.,Ich zeichne ein Bild.,Bildung,a1_verbs_daily_1,2,false,to draw,Verb,I draw a picture.,vocab_a1_0716
나다,nada,(Fieber) bekommen,A1,Verb,저는 어제 열이 났어요.,Ich hatte gestern Fieber.,Körper,a1_verbs_daily_1,3,false,to have (a fever),Verb,I had a fever yesterday.,vocab_a1_0717
넣다,neota,hineinlegen,A1,Verb,저는 가방에 책을 넣어요.,Ich stecke ein Buch in die Tasche.,Alltag,a1_verbs_daily_1,4,false,to put in,Verb,I put a book in my bag.,vocab_a1_0718
놀다,nolda,spielen,A1,Verb,"크리스티안 씨, 우리 같이 놀까요?","Christian, sollen wir zusammen spielen?",Freizeit,a1_verbs_daily_1,5,false,to play,Verb,"Christian, shall we play together?",vocab_a1_0719
되다,doeda,werden,A1,Verb,저는 의사가 되고 싶어요.,Ich möchte Arzt werden.,Beruf,a1_verbs_daily_1,6,false,to become,Verb,I want to become a doctor.,vocab_a1_0720
들다,deulda,halten,A1,Verb,저는 가방을 들어요.,Ich halte die Tasche.,Alltag,a1_verbs_daily_1,7,false,"to hold, to carry",Verb,I hold the bag.,vocab_a1_0721
부르다,bureuda,singen,A1,Verb,마야 씨가 노래를 불러요.,Maya singt ein Lied.,Freizeit,a1_verbs_daily_1,8,false,to sing,Verb,Maya sings a song.,vocab_a1_0722
시키다,sikida,bestellen,A1,Verb,저는 커피를 시켜요.,Ich bestelle einen Kaffee.,Essen & Trinken,a1_verbs_daily_1,9,false,to order,Verb,I order a coffee.,vocab_a1_0723
찍다,jjikda,(ein Foto) machen,A1,Verb,저는 사진을 찍어요.,Ich mache ein Foto.,Technologie,a1_verbs_daily_1,10,false,to take (a photo),Verb,I take a photo.,vocab_a1_0724
추다,chuda,tanzen,A1,Verb,레나 씨가 춤을 춰요.,Lena tanzt.,Freizeit,a1_verbs_daily_1,11,true,to dance,Verb,Lena dances.,vocab_a1_0725
치다,chida,(Tennis) spielen,A1,Verb,저는 테니스를 쳐요.,Ich spiele Tennis.,Sport,a1_verbs_daily_1,12,true,to play (tennis),Verb,I play tennis.,vocab_a1_0726
다녀오다,danyeooda,(hin und zurück) gehen,A1,Verb,저는 어제 시장에 다녀왔어요.,Ich war gestern auf dem Markt.,Alltag,a1_verbs_daily_2,1,false,to go and come back,Verb,I went to the market yesterday.,vocab_a1_0727
돌아가다,doragada,zurückgehen,A1,Verb,저는 집에 돌아가요.,Ich gehe nach Hause zurück.,Alltag,a1_verbs_daily_2,2,false,to go back,Verb,I go back home.,vocab_a1_0728
돌아오다,doraoda,zurückkommen,A1,Verb,아버지가 일찍 돌아오세요.,Vater kommt früh zurück.,Familie,a1_verbs_daily_2,3,false,to come back,Verb,Father comes back early.,vocab_a1_0729
들어가다,deureogada,hineingehen,A1,Verb,저는 아직 교실에 들어가지 않아요.,Ich betrete das Klassenzimmer noch nicht.,Bildung,a1_verbs_daily_2,4,false,to enter,Verb,I haven't entered the classroom yet.,vocab_a1_0730
들어오다,deureooda,hereinkommen,A1,Verb,친구가 방에 들어와요.,Mein Freund kommt ins Zimmer.,Alltag,a1_verbs_daily_2,5,false,to come in,Verb,My friend comes into the room.,vocab_a1_0731
올라가다,ollagada,hinaufgehen,A1,Verb,안드레아 씨는 주말에 이 산을 올라갈 수 있어요.,Andrea kann am Wochenende auf diesen Berg steigen.,Freizeit,a1_verbs_daily_2,6,false,to go up,Verb,Andrea can go up this mountain on the weekend.,vocab_a1_0732
불다,bulda,wehen,A1,Verb,오늘 바람이 불어요.,Heute weht der Wind.,Wetter,a1_verbs_daily_2,7,false,to blow (wind),Verb,The wind blows today.,vocab_a1_0733
울다,ulda,weinen,A1,Verb,아이가 많이 울어요.,Das Kind weint viel.,Familie,a1_verbs_daily_2,8,false,to cry,Verb,The child cries a lot.,vocab_a1_0734
잘하다,jalhada,gut können,A1,Verb,민호 씨는 요리를 잘해요.,Minho kocht gut.,Beruf,a1_verbs_daily_2,9,false,to be good at,Verb,Minho is good at cooking.,vocab_a1_0735
지나다,jinada,vergehen,A1,Verb,시간이 빨리 지나요.,Die Zeit vergeht schnell.,Zeit,a1_verbs_daily_2,10,false,to pass (time),Verb,Time passes quickly.,vocab_a1_0736
지내다,jinaeda,(die Zeit) verbringen,A1,Verb,요즘 잘 지내요?,Wie geht es dir zurzeit?,Kommunikation,a1_verbs_daily_2,11,true,"to get along, to be doing",Verb,How have you been these days?,vocab_a1_0737
피우다,piuda,rauchen,A1,Verb,할아버지는 담배를 피우지 않아요.,Großvater raucht nicht.,Körper,a1_verbs_daily_2,12,true,to smoke,Verb,Grandfather doesn't smoke.,vocab_a1_0738
못하다,mothada,nicht gut können,A1,Verb,크리스티안 씨는 한국어를 잘 못해요.,Christian kann noch nicht gut Koreanisch.,Bildung,a1_verbs_daily_3,1,false,to be bad at,Verb,Christian isn't very good at Korean.,vocab_a1_0739
알리다,allida,mitteilen,A1,Verb,저는 친구한테 시간을 알려요.,Ich sage meinem Freund die Uhrzeit.,Kommunikation,a1_verbs_daily_3,2,false,to inform,Verb,I tell my friend the time.,vocab_a1_0740
찾아보다,chajaboda,"nachschlagen, suchen",A1,Verb,저는 학교를 찾아봐요.,Ich suche nach der Schule.,Bildung,a1_verbs_daily_3,3,true,"to look up, to search for",Verb,I look for the school.,vocab_a1_0741
춤추다,chumchuda,tanzen,A1,Verb,우리는 같이 춤춰요.,Wir tanzen zusammen.,Freizeit,a1_verbs_daily_3,4,true,to dance,Verb,We dance together.,vocab_a1_0742
같다,gatda,gleich sein,A1,Adjektiv,언니와 저는 키가 같아요.,Meine große Schwester und ich sind gleich groß.,Familie,a1_adjectives_1,1,false,to be the same,Adjective,My older sister and I are the same height.,vocab_a1_0743
고맙다,gomapda,dankbar sein,A1,Adjektiv,오늘 정말 고마워요.,Heute vielen Dank.,Kommunikation,a1_adjectives_1,2,false,to be thankful,Adjective,Thank you so much today.,vocab_a1_0744
