korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
조율하다,joyulhada,abstimmen,B1,Verb,팀원들과 일정을 조율한 뒤에 회의 시간을 확정했어요.,"Nachdem ich den Zeitplan mit dem Team abgestimmt hatte, habe ich den Besprechungstermin festgelegt.",Arbeitskoordination & Termine,b1_work_coordination_1,1,false,to coordinate,Verb,"After coordinating the schedule with the team, I confirmed the meeting time.",vocab_b1_0260
참석 여부,chamseok yeobu,Teilnahme oder Absage,B1,Nomen,회의 참석 여부를 오늘 안에 알려 주세요.,"Bitte teilen Sie uns noch heute mit, ob Sie an der Besprechung teilnehmen können.",Arbeitskoordination & Termine,b1_work_coordination_1,2,false,attendance status,Noun,Please let us know by today whether you can attend the meeting.,vocab_b1_0261
우선순위,useonsunwi,Priorität,B1,Nomen,마감일이 가까운 업무의 우선순위를 먼저 정했어요.,Wir haben zuerst die Prioritäten für die Aufgaben mit naher Abgabefrist festgelegt.,Arbeitskoordination & Termine,b1_work_coordination_1,3,false,priority,Noun,We first set the priorities for tasks with approaching deadlines.,vocab_b1_0262
회의실,hoeuisil,Besprechungsraum,B1,Nomen,오후 회의를 위해 3층 회의실을 예약했어요.,Für die Besprechung am Nachmittag habe ich einen Raum im dritten Stock reserviert.,Arbeitskoordination & Termine,b1_work_coordination_1,4,false,meeting room,Noun,I reserved a meeting room on the third floor for the afternoon meeting.,vocab_b1_0263
대신하다,daesinhada,vertretungsweise übernehmen,B1,Verb,담당자가 부재중이라 제가 대신 업무를 맡기로 했어요.,"Da die zuständige Person nicht da war, habe ich die Aufgaben stellvertretend übernommen.",Arbeitskoordination & Termine,b1_work_coordination_1,5,false,to take over temporarily,Verb,"Since the person in charge was unavailable, I took over the duties temporarily.",vocab_b1_0264
지연되다,jiyeondoeda,sich verzögern,B1,Verb,자료가 늦게 도착해서 회의 시작이 20분 지연됐어요.,"Weil die Unterlagen spät ankamen, hat sich der Beginn der Besprechung um zwanzig Minuten verzögert.",Arbeitskoordination & Termine,b1_work_coordination_1,6,false,to be delayed,Verb,"Because the materials arrived late, the start of the meeting was delayed by 20 minutes.",vocab_b1_0265
업무 분담,eommu bundam,Aufgabenverteilung,B1,Nomen,회의 전에 업무 분담을 정해서 각자 맡을 일을 확인했어요.,"Vor der Besprechung haben wir die Aufgabenverteilung festgelegt und geprüft, wer was übernimmt.",Arbeitskoordination & Termine,b1_work_coordination_1,7,false,division of tasks,Noun,Before the meeting we agreed on the division of tasks and confirmed what each person would handle.,vocab_b1_0266
마감일,magamil,Abgabefrist,B1,Nomen,이 보고서의 마감일은 다음 주 금요일이에요.,Die Abgabefrist für diesen Bericht ist nächsten Freitag.,Arbeitskoordination & Termine,b1_work_coordination_1,8,false,deadline,Noun,The deadline for this report is next Friday.,vocab_b1_0267
미루다,miruda,verschieben,B1,Verb,결정이 늦어져서 회의를 다음 주로 미뤘어요.,"Da sich die Entscheidung verzögerte, haben wir die Besprechung auf nächste Woche verschoben.",Arbeitskoordination & Termine,b1_work_coordination_1,9,false,to postpone,Verb,"Because the decision was delayed, we postponed the meeting until next week.",vocab_b1_0268
확정하다,hwakjeonghada,endgültig festlegen,B1,Verb,참석 인원을 확인한 뒤에 최종 일정을 확정할게요.,"Nachdem ich die Zahl der Teilnehmenden geprüft habe, werde ich den endgültigen Termin festlegen.",Arbeitskoordination & Termine,b1_work_coordination_1,10,true,to finalize,Verb,"After checking the number of participants, I will finalize the schedule.",vocab_b1_0269
