korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
국적,gukjeok,Staatsangehörigkeit,A1,Nomen,제 국적은 독일이에요.,Meine Staatsangehörigkeit ist deutsch.,자기소개,a1_particles_in_use_1,1,false,nationality,Noun,My nationality is German.,vocab_a1_0404
모국어,mogugeo,Muttersprache,A1,Nomen,제 모국어는 독일어예요.,Meine Muttersprache ist Deutsch.,자기소개,a1_particles_in_use_1,2,false,first language,Noun,My first language is German.,vocab_a1_0405
성,seong,Nachname,A1,Nomen,성은 박이고 이름은 수진이에요.,Mein Nachname ist Park und mein Vorname ist Sujin.,자기소개,a1_particles_in_use_1,3,true,family name,Noun,My family name is Park and my given name is Sujin.,vocab_a1_0406
고향,gohyang,Heimatort,A1,Nomen,제 고향은 부산이에요.,Meine Heimatstadt ist Busan.,자기소개,a1_particles_in_use_1,4,true,hometown,Noun,My hometown is Busan.,vocab_a1_0407
발음,bareum,Aussprache,A1,Nomen,이 단어 발음을 다시 들려주세요.,Bitte spielen Sie die Aussprache dieses Wortes noch einmal ab.,다시 묻기,a1_repair_language_1,1,false,pronunciation,Noun,Please play the pronunciation of this word again.,vocab_a1_0408
예문,yemun,Beispielsatz,A1,Nomen,짧은 예문을 하나 적어 주세요.,Bitte schreiben Sie einen kurzen Beispielsatz auf.,다시 묻기,a1_repair_language_1,2,false,example sentence,Noun,Please write down one short example sentence.,vocab_a1_0409
적어 주다,jeogeo juda,aufschreiben,A1,Verb,주소를 천천히 적어 주세요.,Bitte schreiben Sie die Adresse langsam auf.,다시 묻기,a1_repair_language_1,3,true,write down,Verb,Please write the address down slowly.,vocab_a1_0410
뜻을 묻다,tteuseul mutda,nach der Bedeutung fragen,A1,Verb,모르는 단어의 뜻을 물어요.,Ich frage nach der Bedeutung eines unbekannten Wortes.,다시 묻기,a1_repair_language_1,4,true,ask the meaning,Verb,I ask the meaning of an unfamiliar word.,vocab_a1_0411
결제하다,gyeoljehada,bezahlen,A1,Verb,카드로 결제할게요.,Ich bezahle mit Karte.,결제와 배달,a1_payment_delivery_1,1,false,pay,Verb,I'll pay by card.,vocab_a1_0412
배달비,baedalbi,Liefergebühr,A1,Nomen,배달비는 삼천 원이에요.,Die Liefergebühr beträgt 3.000 Won.,결제와 배달,a1_payment_delivery_1,2,false,delivery fee,Noun,"The delivery fee is 3,000 won.",vocab_a1_0413
주소를 확인하다,jusoreul hwaginhada,die Adresse prüfen,A1,Verb,주문 전에 주소를 확인해요.,Vor der Bestellung prüfe ich die Adresse.,결제와 배달,a1_payment_delivery_1,3,true,check the address,Verb,I check the address before ordering.,vocab_a1_0414
도착 시간,dochak sigan,Ankunftszeit,A1,Nomen,도착 시간은 여섯 시예요.,Die Ankunftszeit ist sechs Uhr.,결제와 배달,a1_payment_delivery_1,4,true,arrival time,Noun,The arrival time is six o'clock.,vocab_a1_0415
약속을 잡다,yaksogeul japda,sich verabreden,A2,Verb,금요일 저녁으로 약속을 잡았어요.,Wir haben uns für Freitagabend verabredet.,약속과 일정,a2_plans_proposals_1,1,false,make plans,Verb,We made plans for Friday evening.,vocab_a2_0461
일정을 바꾸다,iljeongeul bakkuda,einen Termin ändern,A2,Verb,비가 와서 일정을 바꿨어요.,Wegen des Regens haben wir den Termin geändert.,약속과 일정,a2_plans_proposals_1,2,false,change a schedule,Verb,We changed the schedule because it rained.,vocab_a2_0462
시간이 되다,sigani doeda,Zeit haben,A2,Verb,토요일 오후에 시간이 돼요.,Am Samstagnachmittag habe ich Zeit.,약속과 일정,a2_plans_proposals_1,3,true,be available,Verb,I'm available on Saturday afternoon.,vocab_a2_0463
만날 곳을 정하다,mannal goseul jeonghada,einen Treffpunkt festlegen,A2,Verb,역 앞을 만날 곳으로 정했어요.,Wir haben den Bahnhofsvorplatz als Treffpunkt gewählt.,약속과 일정,a2_plans_proposals_1,4,true,choose a meeting place,Verb,We chose the front of the station as our meeting place.,vocab_a2_0464
사정을 설명하다,sajeongeul seolmyeonghada,die Umstände erklären,B1,Verb,마감이 늦어지는 사정을 먼저 설명했어요.,"Ich habe zuerst erklärt, warum sich die Abgabe verzögert.",직장 소통,b1_work_softening_1,1,false,explain the situation,Verb,I first explained why the deadline would be missed.,vocab_b1_0464
의견을 조율하다,uigyeoneul joyulhada,Meinungen abstimmen,B1,Verb,회의에서 서로 다른 의견을 조율했어요.,In der Besprechung haben wir unterschiedliche Meinungen abgestimmt.,직장 소통,b1_work_softening_1,2,false,align opinions,Verb,We aligned different opinions in the meeting.,vocab_b1_0465
대안을 찾다,daeaneul chatda,eine Alternative finden,B1,Verb,예산 안에서 가능한 대안을 찾아볼게요.,Ich suche nach einer Alternative innerhalb des Budgets.,직장 소통,b1_work_softening_1,3,true,find an alternative,Verb,I'll look for an alternative within the budget.,vocab_b1_0466
미리 알리다,miri allida,vorher Bescheid geben,B1,Verb,일정이 바뀌면 미리 알려 주세요.,"Bitte geben Sie vorher Bescheid, wenn sich der Termin ändert.",직장 소통,b1_work_softening_1,4,true,give advance notice,Verb,Please let me know in advance if the schedule changes.,vocab_b1_0467
