korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
어깨,eokkae,Schulter,A2,Nomen,가방이 너무 무거워서 어깨가 아파요.,"Die Tasche ist zu schwer, deshalb tut meine Schulter weh.",Körper,a2_body_1,1,false,shoulder,Noun,"The bag is too heavy, so my shoulder hurts.",vocab_a2_0568
가슴,gaseum,Brust,A2,Nomen,너무 뛰어서 가슴이 아파요.,"Ich bin zu viel gerannt, deshalb tut meine Brust weh.",Körper,a2_body_1,2,false,chest,Noun,"I ran too much, so my chest hurts.",vocab_a2_0569
허리,heori,Taille,A2,Nomen,의자에 오래 앉아서 허리가 아파요.,"Ich habe lange auf dem Stuhl gesessen, deshalb tut meine Taille weh.",Körper,a2_body_1,3,false,waist,Noun,"I sat on the chair for a long time, so my waist hurts.",vocab_a2_0570
손가락,songarak,Finger,A2,Nomen,"레나 씨, 제 손가락이 길어요.","Lena, meine Finger sind lang.",Körper,a2_body_1,4,false,finger,Noun,"Lena, my fingers are long.",vocab_a2_0571
손바닥,sonbadak,Handfläche,A2,Nomen,긴장해서 손바닥에 땀이 났어요.,"Ich war nervös, deshalb hatte ich Schweiß in der Handfläche.",Körper,a2_body_1,5,false,palm,Noun,"I was nervous, so my palm got sweaty.",vocab_a2_0572
발가락,balgarak,Zeh,A2,Nomen,신발이 작아서 발가락이 아파요.,"Die Schuhe sind zu klein, deshalb tun meine Zehen weh.",Körper,a2_body_1,6,false,toe,Noun,"The shoes are too small, so my toes hurt.",vocab_a2_0573
발바닥,balbadak,Fußsohle,A2,Nomen,많이 걸어서 발바닥이 아파요.,"Ich bin viel gelaufen, deshalb tut meine Fußsohle weh.",Körper,a2_body_1,7,false,sole (of foot),Noun,"I walked a lot, so the sole of my foot hurts.",vocab_a2_0574
이마,ima,Stirn,A2,Nomen,이마에 땀이 많이 났어요.,Auf meiner Stirn ist viel Schweiß.,Körper,a2_body_1,8,false,forehead,Noun,There is a lot of sweat on my forehead.,vocab_a2_0575
혀,hyeo,Zunge,A2,Nomen,매운 음식을 먹어서 혀가 아파요.,"Ich habe scharfes Essen gegessen, deshalb tut meine Zunge weh.",Körper,a2_body_1,9,false,tongue,Noun,"I ate spicy food, so my tongue hurts.",vocab_a2_0576
목소리,moksori,Stimme,A2,Nomen,"대박, 수진 씨 목소리가 하나도 안 들려요!","Wahnsinn, ich kann Sujins Stimme gar nicht hören!",Körper,a2_body_1,10,false,voice,Noun,"Wow, I can't hear Sujin's voice at all!",vocab_a2_0577
