korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
회사원,hoesawon,"Angestellte/r, Büroangestellte/r",A1,Nomen,크리스티안은 회사원이에요.,Christian ist Angestellter.,Person,a1_self_intro,9,false,office worker,Noun,Christian is an office worker.,vocab_a1_0459
주부,jubu,Hausfrau/Hausmann,A1,Nomen,제 어머니는 주부예요.,Meine Mutter ist Hausfrau.,Person,a1_self_intro,10,false,"housewife, homemaker",Noun,My mother is a housewife.,vocab_a1_0460
누구,nugu,wer,A1,Pronomen,저 사람은 누구예요?,Wer ist die Person dort?,Person,a1_self_intro,11,false,who,Pronoun,Who is that person?,vocab_a1_0461
여러분,yeoreobun,alle (Anrede an eine Gruppe),A1,Pronomen,"여러분, 안녕하세요!","Hallo, alle zusammen!",Person,a1_self_intro,12,false,"everyone, all of you",Pronoun,"Hello, everyone!",vocab_a1_0462
우유,uyu,Milch,A1,Nomen,아침에 우유를 마셔요.,Am Morgen trinke ich Milch.,Essen & Trinken,a1_food_2,9,false,milk,Noun,I drink milk in the morning.,vocab_a1_0463
귤,gyul,Mandarine,A1,Nomen,저는 귤을 좋아해요.,Ich mag Mandarinen.,Essen & Trinken,a1_food_2,10,false,"tangerine, mandarin orange",Noun,I like tangerines.,vocab_a1_0464
바나나,banana,Banane,A1,Nomen,저는 바나나를 좋아해요.,Ich mag Bananen.,Essen & Trinken,a1_food_2,11,false,banana,Noun,I like bananas.,vocab_a1_0465
케이크,keikeu,"Kuchen, Torte",A1,Nomen,생일에 케이크를 먹어요.,Am Geburtstag isst man Kuchen.,Essen & Trinken,a1_food_2,12,false,cake,Noun,We eat cake on birthdays.,vocab_a1_0466
모레,more,übermorgen,A1,Adverb,모레 다시 만나요.,Wir treffen uns übermorgen wieder.,Zeit,a1_time_2,9,false,the day after tomorrow,Adverb,Let's meet again the day after tomorrow.,vocab_a1_0467
그저께,geujeokke,vorgestern,A1,Adverb,그저께 학교에 안 갔어요.,Vorgestern bin ich nicht zur Schule gegangen.,Zeit,a1_time_2,10,false,the day before yesterday,Adverb,I didn't go to school the day before yesterday.,vocab_a1_0468
