korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
늦다,neutda,"zu spät sein, sich verspäten",A1,Verb,"미안해요, 버스가 늦었어요.","Entschuldigung, der Bus hatte Verspätung.",Zeit,a1_weekend_promise_1,1,false,to be late,Verb,"Sorry, the bus was late.",vocab_a1_0652
묻다,mutda,fragen,A1,Verb,선생님한테 다시 물어요.,Ich frage den Lehrer noch einmal.,Kommunikation,a1_repair_language_1,11,false,to ask,Verb,I ask the teacher again.,vocab_a1_0653
맞다,matda,"stimmen, richtig sein",A1,Verb,제 대답이 맞아요?,Ist meine Antwort richtig?,Kommunikation,a1_repair_language_1,12,false,"to be right, to match",Verb,Is my answer right?,vocab_a1_0654
샤워,syawo,Dusche,A1,Nomen,저는 아침에 샤워해요.,Ich dusche am Morgen.,Alltag,a1_home_daily_1,1,false,shower,Noun,I take a shower in the morning.,vocab_a1_0655
세수,sesu,Gesichtwaschen,A1,Nomen,저는 매일 세수해요.,Ich wasche mir jeden Tag das Gesicht.,Alltag,a1_home_daily_1,2,false,washing one's face,Noun,I wash my face every day.,vocab_a1_0656
청소,cheongso,"Putzen, Reinigung",A1,Nomen,제가 집을 청소해요.,Ich putze das Haus.,Alltag,a1_home_daily_1,3,false,cleaning,Noun,I clean the house.,vocab_a1_0657
준비,junbi,Vorbereitung,A1,Nomen,내일 여행을 준비해요.,Ich bereite morgen die Reise vor.,Alltag,a1_home_daily_1,4,false,preparation,Noun,I prepare for the trip tomorrow.,vocab_a1_0658
생활,saenghwal,"Leben, Alltag",A1,Nomen,기숙사 생활이 재미있어요.,Das Wohnheimleben macht Spaß.,Alltag,a1_home_daily_1,5,false,"life, living",Noun,Dormitory life is fun.,vocab_a1_0659
잠,jam,Schlaf,A1,Nomen,잠을 못 잤어요.,Ich konnte nicht schlafen.,Alltag,a1_home_daily_1,6,false,sleep,Noun,I couldn't sleep.,vocab_a1_0660
요리,yori,"Kochen, Gericht",A1,Nomen,오늘 저녁은 제가 요리해요!,Heute Abend koche ich!,Alltag,a1_home_daily_1,7,false,"cooking, dish",Noun,"Tonight, I'm cooking!",vocab_a1_0661
식사,siksa,Mahlzeit,A1,Nomen,저는 가족과 식사해요.,Ich esse mit der Familie.,Alltag,a1_home_daily_1,8,false,meal,Noun,I have a meal with my family.,vocab_a1_0662
에어컨,eeokeon,Klimaanlage,A1,Nomen,지금 에어컨을 켜요.,Ich schalte jetzt die Klimaanlage ein.,Technologie,a1_home_daily_1,9,false,air conditioner,Noun,I'm turning on the air conditioner now.,vocab_a1_0663
운전,unjeon,Fahren (Auto),A1,Nomen,저는 운전을 잘해요.,Ich fahre gut Auto.,Verkehr,a1_home_daily_1,10,false,driving,Noun,I'm good at driving.,vocab_a1_0664
