korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
놓다,nota,"hinlegen, hinstellen",A2,Verb,가방을 의자 위에 놓았어요.,Ich habe die Tasche auf den Stuhl gelegt.,Alltag,a2_daily_actions_1,5,true,"to put, to place",Verb,I put the bag on the chair.,vocab_a2_0632
누르다,nureuda,drücken,A2,Verb,여기를 누르면 물이 나와요.,"Wenn man hier drückt, kommt Wasser heraus.",Alltag,a2_daily_actions_1,6,true,to press,Verb,"If you press here, water comes out.",vocab_a2_0633
밀다,milda,"schieben, aufdrücken (Tür)",A2,Verb,무거운 문을 두 손으로 밀었어요.,Ich habe die schwere Tür mit beiden Händen aufgeschoben.,Alltag,a2_daily_actions_1,7,false,to push,Verb,I pushed the heavy door with both hands.,vocab_a2_0634
접다,jeopda,falten,A2,Verb,종이를 접어서 비행기를 만들었어요.,Ich habe Papier gefaltet und ein Flugzeug gemacht.,Alltag,a2_daily_actions_1,8,false,to fold,Verb,I folded paper and made an airplane.,vocab_a2_0635
펴다,pyeoda,"aufspannen, ausbreiten",A2,Verb,비가 와서 우산을 폈어요.,"Es hat geregnet, deshalb habe ich den Regenschirm aufgespannt.",Alltag,a2_daily_actions_1,9,false,"to open (umbrella), to unfold",Verb,"It rained, so I opened my umbrella.",vocab_a2_0636
붙이다,buchida,"ankleben, anbringen",A2,Verb,"엄마, 나 3학년 교실 벽에 그림 붙였어!","Mama, ich habe im Klassenzimmer der dritten Klasse ein Bild an die Wand geklebt!",Alltag,a2_daily_actions_1,10,true,"to stick, to attach",Verb,"Mom, I stuck a picture on the wall of the third-grade classroom!",vocab_a2_0637
지우다,jiuda,"wegwischen, löschen",A2,Verb,틀린 글자를 지우고 다시 썼어요.,Ich habe den falschen Buchstaben weggewischt und ihn noch einmal geschrieben.,Alltag,a2_daily_actions_1,11,false,to erase,Verb,I erased the wrong letter and wrote it again.,vocab_a2_0638
바르다,bareuda,"auftragen (Salbe, Creme)",A2,Verb,상처에 이 약을 하루에 두 번 바르세요.,Tragen Sie diese Salbe zweimal am Tag auf die Wunde auf.,Alltag,a2_daily_actions_1,12,false,to apply (ointment),Verb,Apply this ointment to the wound twice a day.,vocab_a2_0639
기침,gichim,Husten,A2,Nomen,감기에 걸려서 기침이 계속 나요.,"Ich habe mich erkältet, deshalb muss ich ständig husten.",Gesundheit,a2_health_symptoms_1,1,true,cough,Noun,"I caught a cold, so I keep coughing.",vocab_a2_0640
콧물,konmul,"laufende Nase, Nasensekret",A2,Nomen,콧물이 나서 휴지로 코를 닦았어요.,"Meine Nase lief, deshalb habe ich mir mit einem Taschentuch die Nase abgewischt.",Gesundheit,a2_health_symptoms_1,2,false,runny nose,Noun,"My nose was running, so I wiped it with a tissue.",vocab_a2_0641
재채기,jaechaegi,Niesen,A2,Nomen,봄에는 재채기를 자주 해요.,Im Frühling muss ich oft niesen.,Gesundheit,a2_health_symptoms_1,3,false,sneeze,Noun,"In spring, I sneeze often.",vocab_a2_0642
배탈,baetal,Magenverstimmung,A2,Nomen,아이스크림을 많이 먹어서 배탈이 났어요.,"Ich habe viel Eis gegessen, deshalb habe ich mir den Magen verdorben.",Gesundheit,a2_health_symptoms_1,4,true,upset stomach,Noun,"I ate a lot of ice cream, so I got an upset stomach.",vocab_a2_0643
상처,sangcheo,"Wunde, Verletzung",A2,Nomen,넘어져서 손에 작은 상처가 생겼어요.,"Ich bin hingefallen, deshalb habe ich eine kleine Wunde an der Hand.",Gesundheit,a2_health_symptoms_1,5,false,wound,Noun,"I fell down, so I got a small wound on my hand.",vocab_a2_0644
수술,susul,Operation,A2,Nomen,할머니가 다음 주에 수술을 받으세요.,Meine Großmutter wird nächste Woche operiert.,Gesundheit,a2_health_symptoms_1,6,false,surgery,Noun,My grandmother is having surgery next week.,vocab_a2_0645
입원,ibwon,Krankenhausaufenthalt,A2,Nomen,친구가 다리를 다쳐서 입원을 했어요.,Mein Freund hat sich das Bein verletzt und liegt im Krankenhaus.,Gesundheit,a2_health_symptoms_1,7,false,hospitalization,Noun,My friend hurt his leg and was hospitalized.,vocab_a2_0646
퇴원,toewon,Entlassung aus dem Krankenhaus,A2,Nomen,내일 퇴원이라서 기분이 좋아요.,"Morgen werde ich aus dem Krankenhaus entlassen, deshalb bin ich gut gelaunt.",Gesundheit,a2_health_symptoms_1,8,false,discharge from hospital,Noun,"I'm being discharged tomorrow, so I'm in a good mood.",vocab_a2_0647
