korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
이사,isa,Umzug,A2,Nomen,다음 달에 이사를 가요.,Nächsten Monat ziehe ich um.,Alltag,a2_daily_1,10,false,move (house),Noun,I'm moving next month.,vocab_a2_0504
정리,jeongni,"Aufräumen, Ordnung",A2,Nomen,"수진아, 방 정리는 내가 할게.","Sujin, ich räume das Zimmer auf.",Alltag,a2_daily_1,11,false,"tidying up, organizing",Noun,"Sujin, I'll tidy up the room.",vocab_a2_0505
외출,oechul,Ausgehen,A2,Nomen,밤에는 혼자 외출을 안 해요.,Nachts gehe ich nicht allein aus.,Alltag,a2_daily_1,12,false,going out,Noun,I don't go out alone at night.,vocab_a2_0506
빨래,ppallae,Wäsche,A2,Nomen,날씨가 좋아서 빨래가 빨리 말랐어요.,"Das Wetter war schön, deshalb ist die Wäsche schnell getrocknet.",Alltag,a2_daily_2,9,false,laundry,Noun,"The weather was nice, so the laundry dried quickly.",vocab_a2_0507
쓰레기,sseuregi,Müll,A2,Nomen,쓰레기는 아침에 버려요.,Den Müll bringe ich morgens raus.,Alltag,a2_daily_2,10,false,trash,Noun,I take out the trash in the morning.,vocab_a2_0508
버리다,beorida,wegwerfen,A2,Verb,안 입는 옷을 다 버렸어요.,"Ich habe alle Kleider weggeworfen, die ich nicht mehr trage.",Alltag,a2_daily_2,11,false,to throw away,Verb,I threw away all the clothes I don't wear anymore.,vocab_a2_0509
낮잠,natjam,Mittagsschlaf,A2,Nomen,주말에는 낮잠을 좀 자요.,Am Wochenende mache ich einen Mittagsschlaf.,Alltag,a2_daily_2,12,false,nap,Noun,On weekends I take a little nap.,vocab_a2_0510
닦다,dakda,"wischen, putzen",A2,Verb,주말마다 창문을 닦아요.,Jedes Wochenende putze ich die Fenster.,Alltag,a2_daily_3,9,false,"to wipe, to clean",Verb,I clean the windows every weekend.,vocab_a2_0511
돌리다,dollida,"laufen lassen, drehen",A2,Verb,청소기 좀 돌리고 나갈게요.,Ich sauge noch kurz und gehe dann raus.,Alltag,a2_daily_3,10,false,"to run (an appliance), to turn",Verb,I'll run the vacuum quickly and then go out.,vocab_a2_0512
마치다,machida,beenden,A2,Verb,숙제를 마치고 텔레비전을 봤어요.,Ich habe die Hausaufgaben beendet und dann ferngesehen.,Alltag,a2_daily_3,11,false,to finish,Verb,I finished my homework and then watched TV.,vocab_a2_0513
갈아입다,garaipda,sich umziehen,A2,Verb,운동하기 전에 옷을 갈아입어요.,"Bevor ich Sport mache, ziehe ich mich um.",Alltag,a2_daily_3,12,false,to change clothes,Verb,I change clothes before exercising.,vocab_a2_0514
