korean,romanization,german,level,pos_de,example_korean,example_german,topic,pack_id,pack_order,is_review_boss,english,pos_en,example_english,id
게임,geim,Spiel,A1,Nomen,"마야 씨, 이 게임 정말 재미있어요. 같이 할까요?","Maya, dieses Spiel ist wirklich lustig. Spielen wir zusammen?",Freizeit,a1_misc_1,11,false,game,Noun,"Maya, this game is really fun. Shall we play together?",vocab_a1_0523
텔레비전,tellebijeon,Fernseher,A1,Nomen,"아, 저녁에 같이 텔레비전 볼까요?","Ach, sollen wir heute Abend zusammen fernsehen?",Technologie,a1_misc_1,12,false,television,Noun,"Oh, shall we watch TV together this evening?",vocab_a1_0524
슈퍼마켓,syupeomaket,Supermarkt,A1,Nomen,이 근처에 슈퍼마켓이 있어요?,Gibt es hier in der Nähe einen Supermarkt?,도시 생활,a1_city_services_2026_1,5,false,supermarket,Noun,Is there a supermarket near here?,vocab_a1_0525
백화점,baekhwajeom,Kaufhaus,A1,Nomen,주말에 백화점에 가고 싶어요.,Am Wochenende möchte ich ins Kaufhaus gehen.,도시 생활,a1_city_services_2026_1,6,false,department store,Noun,I want to go to the department store this weekend.,vocab_a1_0526
터미널,teomineol,"Terminal, Busbahnhof",A1,Nomen,버스 터미널이 어디예요?,Wo ist der Busbahnhof?,Verkehr,a1_transport,12,false,(bus) terminal,Noun,Where is the bus terminal?,vocab_a1_0527
미국,miguk,"die USA, Amerika",A1,Nomen,안녕하세요! 저는 마야예요. 미국에서 왔어요.,Hallo! Ich bin Maya. Ich komme aus den USA.,자기소개,a1_particles_in_use_1,12,false,"the USA, America",Noun,Hello! I'm Maya. I'm from the USA.,vocab_a1_0528
일월,irwol,Januar,A1,Nomen,제 생일은 일월이에요.,Mein Geburtstag ist im Januar.,Zeit,a1_months_1,1,false,January,Noun,My birthday is in January.,vocab_a1_0529
이월,iwol,Februar,A1,Nomen,이월에 방학이 끝나요.,Im Februar enden die Ferien.,Zeit,a1_months_1,2,false,February,Noun,Vacation ends in February.,vocab_a1_0530
삼월,samwol,März,A1,Nomen,삼월에 학교가 시작해요.,Im März beginnt die Schule.,Zeit,a1_months_1,3,false,March,Noun,School starts in March.,vocab_a1_0531
사월,sawol,April,A1,Nomen,"수진 씨, 사월에 다시 만나요, 맞아요?","Sujin, wir treffen uns im April wieder, oder?",Zeit,a1_months_1,4,false,April,Noun,"Sujin, we're meeting again in April, right?",vocab_a1_0532
오월,owol,Mai,A1,Nomen,음... 제 생일이 오월이에요.,Ähm... mein Geburtstag ist im Mai.,Zeit,a1_months_1,5,false,May,Noun,Um... my birthday is in May.,vocab_a1_0533
유월,yuwol,Juni,A1,Nomen,유월에 할머니 댁에 가요.,Im Juni besuche ich meine Großmutter.,Zeit,a1_months_1,6,false,June,Noun,I visit my grandmother's place in June.,vocab_a1_0534
칠월,chirwol,Juli,A1,Nomen,칠월에 수영하러 가요.,Im Juli gehe ich schwimmen.,Zeit,a1_months_1,7,false,July,Noun,I go swimming in July.,vocab_a1_0535
팔월,parwol,August,A1,Nomen,팔월에 방학이 제일 길어요.,Im August ist die Ferienzeit am längsten.,Zeit,a1_months_1,8,false,August,Noun,The vacation is longest in August.,vocab_a1_0536
구월,guwol,September,A1,Nomen,구월에 학교에 다시 가요.,Im September gehe ich wieder zur Schule.,Zeit,a1_months_1,9,false,September,Noun,I go back to school in September.,vocab_a1_0537
시월,siwol,Oktober,A1,Nomen,시월에 등산하러 가요.,Im Oktober gehe ich wandern.,Zeit,a1_months_1,10,false,October,Noun,I go hiking in October.,vocab_a1_0538
십일월,sibirwol,November,A1,Nomen,십일월에 뭐 해요?,Was machen Sie im November?,Zeit,a1_months_1,11,false,November,Noun,What do you do in November?,vocab_a1_0539
십이월,sibiwol,Dezember,A1,Nomen,십이월에 파티가 있어요.,Im Dezember gibt es eine Party.,Zeit,a1_months_1,12,false,December,Noun,There's a party in December.,vocab_a1_0540
일본,ilbon,Japan,A1,Nomen,"마야 씨, 저는 일본을 찍고 싶어요!","Maya, ich möchte Japan filmen!",Geographie,a1_countries_1,1,false,Japan,Noun,"Maya, I want to film Japan!",vocab_a1_0541
중국,jungguk,China,A1,Nomen,중국 사람이세요?,Sind Sie aus China?,Geographie,a1_countries_1,2,false,China,Noun,Are you from China?,vocab_a1_0542
영국,yeongguk,"England, Großbritannien",A1,Nomen,영국에서 오셨어요?,Kommen Sie aus England?,Geographie,a1_countries_1,3,false,"the UK, England",Noun,Are you from England?,vocab_a1_0543
프랑스,peurangseu,Frankreich,A1,Nomen,프랑스에서 살고 싶어요.,Ich möchte in Frankreich leben.,Geographie,a1_countries_1,4,false,France,Noun,I want to live in France.,vocab_a1_0544
러시아,reosia,Russland,A1,Nomen,러시아에서 오셨어요?,Kommen Sie aus Russland?,Geographie,a1_countries_1,5,false,Russia,Noun,Are you from Russia?,vocab_a1_0545
캐나다,kaenada,Kanada,A1,Nomen,캐나다에 친구가 있어요.,Ich habe einen Freund in Kanada.,Geographie,a1_countries_1,6,false,Canada,Noun,I have a friend in Canada.,vocab_a1_0546
태국,taeguk,Thailand,A1,Nomen,태국 사람을 알아요?,Kennen Sie jemanden aus Thailand?,Geographie,a1_countries_1,7,false,Thailand,Noun,Do you know anyone from Thailand?,vocab_a1_0547
베트남,beteunam,Vietnam,A1,Nomen,베트남에 가고 싶어요.,Ich möchte nach Vietnam fahren.,Geographie,a1_countries_1,8,false,Vietnam,Noun,I want to go to Vietnam.,vocab_a1_0548
몽골,monggol,die Mongolei,A1,Nomen,몽골에 친구가 살아요.,Ein Freund von mir lebt in der Mongolei.,Geographie,a1_countries_1,9,false,Mongolia,Noun,A friend of mine lives in Mongolia.,vocab_a1_0549
말레이시아,malleisia,Malaysia,A1,Nomen,말레이시아에서 오셨어요?,Kommen Sie aus Malaysia?,Geographie,a1_countries_1,10,false,Malaysia,Noun,Are you from Malaysia?,vocab_a1_0550
인도네시아,indonesia,Indonesien,A1,Nomen,인도네시아는 어디에 있어요?,Wo liegt Indonesien?,Geographie,a1_countries_1,11,false,Indonesia,Noun,Where is Indonesia?,vocab_a1_0551
외국,oeguk,Ausland,A1,Nomen,외국 생활이 어때요?,Wie ist das Leben im Ausland?,Geographie,a1_countries_1,12,false,"foreign country, abroad",Noun,How is life abroad?,vocab_a1_0552
축구,chukgu,Fußball,A1,Nomen,저는 축구를 잘해요.,Ich bin gut im Fußball.,Freizeit,a1_hobbies_1,1,false,soccer,Noun,I'm good at soccer.,vocab_a1_0553
야구,yagu,Baseball,A1,Nomen,야구 좋아하세요?,Mögen Sie Baseball?,Freizeit,a1_hobbies_1,2,false,baseball,Noun,Do you like baseball?,vocab_a1_0554
농구,nonggu,Basketball,A1,Nomen,"음, 주말에 농구 할까요?","Hmm, sollen wir am Wochenende Basketball spielen?",Freizeit,a1_hobbies_1,3,false,basketball,Noun,"Hmm, shall we play basketball this weekend?",vocab_a1_0555
테니스,teniseu,Tennis,A1,Nomen,"마야 씨, 저는 테니스를 못하지만 괜찮아요.","Maya, ich kann nicht gut Tennis spielen, aber das ist okay.",Freizeit,a1_hobbies_1,4,false,tennis,Noun,"Maya, I'm not good at tennis, but that's okay.",vocab_a1_0556
수영,suyeong,Schwimmen,A1,Nomen,"수진 씨, 저녁에 수영하러 갈까요?","Sujin, sollen wir heute Abend schwimmen gehen?",Freizeit,a1_hobbies_1,5,false,swimming,Noun,"Sujin, shall we go swimming this evening?",vocab_a1_0557
스키,seuki,Skifahren,A1,Nomen,오늘 스키 타러 가요.,Ich gehe heute Ski fahren.,Freizeit,a1_hobbies_1,6,false,skiing,Noun,I'm going skiing today.,vocab_a1_0558
등산,deungsan,Bergwandern,A1,Nomen,"현아 씨, 저는 주말에 등산을 합니다.","Hyuna, ich gehe am Wochenende wandern.",Freizeit,a1_hobbies_1,7,false,hiking,Noun,"Hyuna, I go hiking on weekends.",vocab_a1_0559
산책,sanchaek,Spaziergang,A1,Nomen,"수진 씨, 왜 산책을 좋아해요?","Sujin, warum magst du Spaziergänge?",Freizeit,a1_hobbies_1,8,false,"walk, stroll",Noun,"Sujin, why do you like walks?",vocab_a1_0560
춤,chum,Tanz,A1,Nomen,"레나 씨, 우리 같이 춤을 출까요?","Lena, sollen wir zusammen tanzen?",Freizeit,a1_hobbies_1,9,false,dance,Noun,"Lena, shall we dance together?",vocab_a1_0561
노래,norae,Lied,A1,Nomen,"마야 씨, 이 노래 정말 좋아요!","Maya, dieses Lied ist wirklich toll!",Freizeit,a1_hobbies_1,10,false,song,Noun,"Maya, this song is really great!",vocab_a1_0562
구경,gugyeong,Besichtigung,A1,Nomen,이번 주말에 구경 가요.,Lass uns dieses Wochenende bummeln gehen.,Freizeit,a1_hobbies_1,11,false,sightseeing,Noun,Let's go sightseeing this weekend.,vocab_a1_0563
탁구,takgu,Tischtennis,A1,Nomen,그럼 기숙사에서 탁구 칠까요?,Sollen wir dann im Wohnheim Tischtennis spielen?,Freizeit,a1_hobbies_1,12,false,table tennis,Noun,"Then, shall we play table tennis in the dorm?",vocab_a1_0564
김밥,gimbap,Gimbap (Reisrolle),A1,Nomen,그럼 점심에 김밥 먹을까요?,"Also, sollen wir zum Mittagessen Gimbap essen?",Essen & Trinken,a1_korean_food_1,1,false,gimbap,Noun,"Then, shall we have gimbap for lunch?",vocab_a1_0565
떡볶이,tteokbokki,Tteokbokki (scharfer Reiskuchen),A1,Nomen,어제 수진 씨하고 떡볶이 먹었어요.,Gestern habe ich mit Sujin Tteokbokki gegessen.,Essen & Trinken,a1_korean_food_1,2,false,tteokbokki,Noun,Yesterday I ate tteokbokki with Sujin.,vocab_a1_0566
김치찌개,gimchijjigae,Kimchi-Eintopf,A1,Nomen,"와, 이 김치찌개 정말 맛있어요!","Wow, dieser Kimchi-Eintopf ist wirklich lecker!",Essen & Trinken,a1_korean_food_1,3,false,kimchi stew,Noun,"Wow, this kimchi stew is really delicious!",vocab_a1_0567
된장찌개,doenjangjjigae,Doenjang-Eintopf,A1,Nomen,된장찌개를 좋아하세요?,Mögen Sie Doenjang-Eintopf?,Essen & Trinken,a1_korean_food_1,4,false,doenjang stew,Noun,Do you like doenjang stew?,vocab_a1_0568
삼계탕,samgyetang,Samgyetang (Ginseng-Hühnersuppe),A1,Nomen,삼계탕이 몸에 좋아요.,Samgyetang ist gut für den Körper.,Essen & Trinken,a1_korean_food_1,5,false,ginseng chicken soup,Noun,Samgyetang is good for your body.,vocab_a1_0569
갈비,galbi,Galbi (Rippenfleisch),A1,Nomen,생일에 갈비를 먹어요.,An Geburtstagen isst man Galbi.,Essen & Trinken,a1_korean_food_1,6,false,"galbi, short ribs",Noun,We eat galbi on birthdays.,vocab_a1_0570
갈비탕,galbitang,Galbitang (Rippensuppe),A1,Nomen,저는 갈비탕을 자주 먹어요.,Ich esse oft Galbitang.,Essen & Trinken,a1_korean_food_1,7,false,galbitang soup,Noun,I often eat galbitang.,vocab_a1_0571
참외,chamoe,Koreanische Melone (Chamoe),A1,Nomen,이 참외가 정말 맛있어요.,Diese koreanische Melone ist wirklich lecker.,Essen & Trinken,a1_korean_food_1,8,false,Korean melon,Noun,This Korean melon is really delicious.,vocab_a1_0572
포도,podo,Weintraube,A1,Nomen,포도 좀 주세요.,"Etwas Trauben, bitte.",Essen & Trinken,a1_korean_food_1,9,false,grape,Noun,"Some grapes, please.",vocab_a1_0573
감,gam,Kaki (Persimone),A1,Nomen,할머니가 감을 좋아하세요.,Meine Großmutter mag Kaki.,Essen & Trinken,a1_korean_food_1,10,false,persimmon,Noun,My grandmother likes persimmons.,vocab_a1_0574
사이다,saida,Zitronenlimonade,A1,Nomen,사이다 있어요?,Haben Sie eine Zitronenlimonade?,Essen & Trinken,a1_korean_food_1,11,false,lemon-lime soda,Noun,Do you have a lemon-lime soda?,vocab_a1_0575
콜라,kolla,Cola,A1,Nomen,콜라 하나 더 주세요.,"Noch eine Cola, bitte.",Essen & Trinken,a1_korean_food_1,12,false,cola,Noun,"One more cola, please.",vocab_a1_0576
서울,seoul,Seoul,A1,Nomen,저는 서울에 살아요.,Ich wohne in Seoul.,Geographie,a1_korean_places_1,1,false,Seoul,Noun,I live in Seoul.,vocab_a1_0577
부산,busan,Busan,A1,Nomen,"아, 이번 주말에 부산에 갈까요?","Ach, sollen wir dieses Wochenende nach Busan fahren?",Geographie,a1_korean_places_1,2,false,Busan,Noun,"Oh, shall we go to Busan this weekend?",vocab_a1_0578
인천,incheon,Incheon,A1,Nomen,인천공항에서 만나요.,Wir treffen uns am Flughafen Incheon.,Geographie,a1_korean_places_1,3,false,Incheon,Noun,Let's meet at Incheon Airport.,vocab_a1_0579
제주도,jejudo,Jeju-Insel,A1,Nomen,제주도에 가고 싶어요.,Ich möchte nach Jeju fahren.,Geographie,a1_korean_places_1,4,false,Jeju Island,Noun,I want to go to Jeju Island.,vocab_a1_0580
남대문,namdaemun,Namdaemun,A1,Nomen,"다니엘 씨, 남대문 같이 구경 갈까요?","Daniel, sollen wir uns zusammen Namdaemun ansehen?",Geographie,a1_korean_places_1,5,false,Namdaemun,Noun,"Daniel, shall we go see Namdaemun together?",vocab_a1_0581
남산,namsan,Namsan,A1,Nomen,우리 남산에 올라갈까요?,Sollen wir auf den Namsan steigen?,Geographie,a1_korean_places_1,6,false,Namsan,Noun,Shall we go up Namsan?,vocab_a1_0582
동대문,dongdaemun,Dongdaemun,A1,Nomen,동대문에서 옷을 샀어요.,Ich habe in Dongdaemun Kleidung gekauft.,Geographie,a1_korean_places_1,7,false,Dongdaemun,Noun,I bought clothes in Dongdaemun.,vocab_a1_0583
