pattern,level,type_de,explanation_de,example_korean,example_german,note,type_en,explanation_en,example_en,note_en,id,quiz_focus_de,quiz_focus_en,quiz_enabled,quiz_distractor_ids
N까지 포함해서 보면,B2,Gesamtrahmen einbeziehen,"Bezieht einen zusätzlichen Kosten- oder Sachposten ein, bevor ein Vergleich gezogen wird.",난방비까지 포함해서 보면 이 집이 더 비쌉니다.,"Wenn man auch die Heizkosten einbezieht, ist diese Wohnung teurer.",Nach 까지 steht der zusätzlich einbezogene Posten.,Including the full scope,Adds another cost or factor before drawing a comparison.,"Once heating costs are included, this apartment is more expensive.",The noun before 까지 is the added factor.,grammar_b2_include_total_scope,auch die Heizkosten einbezieht,heating costs are included,true,grammar_b2_formal_reason|grammar_b2_formal_arrangement|grammar_b2_formal_reference
V-는지 다시 확인하다,B2,"erneut überprüfen, ob","Prüft, ob ein angekündigter Ablauf tatsächlich stattfindet.",탈락한 지원서를 사람이 다시 보는지 확인해야 합니다.,"Wir müssen erneut prüfen, ob ein Mensch die aussortierten Bewerbungen ansieht.",는지 leitet die indirekte Entscheidungsfrage ein.,Checking again whether,Checks whether a promised process actually takes place.,We need to check again whether a person reviews the rejected applications.,는지 introduces the embedded yes-or-no question.,grammar_b2_verify_human_review,"erneut prüfen, ob",check again whether,true,grammar_b2_formal_reason|grammar_b2_formal_arrangement|grammar_b2_formal_reference
N만으로 판단하기 어렵다,B2,nicht anhand eines Wertes urteilen,"Begrenzt die Aussagekraft eines einzelnen Maßstabs, ohne ihn für nutzlos zu erklären.",취업률만으로 정착이 잘됐다고 판단하기 어렵습니다.,Anhand der Beschäftigungsquote allein lässt sich gelungene Integration schwer beurteilen.,만으로 markiert den unzureichenden alleinigen Maßstab.,Hard to judge by one metric,Limits what one measure can establish without dismissing it entirely.,The employment rate alone cannot show whether settlement has succeeded.,만으로 marks the insufficient single basis.,grammar_b2_not_by_one_metric,allein lässt sich,alone cannot,true,grammar_b2_formal_reason|grammar_b2_formal_arrangement|grammar_b2_formal_reference
V-는 대신 N을/를 보완하다,B2,stattdessen ergänzen,Ersetzt eine enge Vorgehensweise durch eine zusätzliche Informationsquelle.,조회수만 세는 대신 지역 행사 참여 자료를 보완합시다.,"Statt nur Aufrufe zu zählen, ergänzen wir Daten zur Teilnahme an lokalen Veranstaltungen.",대신 stellt die verworfene und die ergänzende Handlung gegenüber.,Supplementing instead,Replaces a narrow approach with an additional source of information.,"Instead of counting views alone, let's add data on participation in local events.",대신 contrasts the narrow action with the added one.,grammar_b2_instead_supplement,Statt nur Aufrufe zu zählen,Instead of counting views alone,true,grammar_b2_formal_reason|grammar_b2_formal_arrangement|grammar_b2_formal_reference
N을/를 감안하더라도,C1,selbst unter Berücksichtigung,Räumt einen relevanten Faktor ein und hält dennoch an der folgenden Bewertung fest.,지역 평균을 감안하더라도 신규 계약의 부담은 예외적으로 큽니다.,Auch unter Berücksichtigung des regionalen Durchschnitts ist die Belastung bei Neuverträgen ungewöhnlich hoch.,더라도 trägt die Konzession; der Folgesatz bleibt bestehen.,Even allowing for,Concedes a relevant factor while maintaining the following assessment.,"Even allowing for the regional average, the burden on new leases is unusually high.",더라도 carries the concession while the main claim remains.,grammar_c1_even_accounting_for,Auch unter Berücksichtigung,Even allowing for,true,grammar_c1_limited_to|grammar_c1_not_necessarily|grammar_c1_insufficient_for
"V-는 한편, N도 고려해야 한다",C1,zwei Wirkungen zugleich abwägen,"Verbindet einen anerkannten Vorteil mit einem zweiten Gesichtspunkt, der nicht übergangen werden darf.","처리 속도를 높이는 한편, 누가 반복해서 탈락하는지도 고려해야 합니다.","Während wir die Bearbeitung beschleunigen, müssen wir auch berücksichtigen, wer wiederholt ausscheidet.","한편 verbindet parallele Wirkungen, nicht bloß zeitgleiche Handlungen.",While also considering,Links an acknowledged benefit to another effect that must not be ignored.,"While speeding up processing, we also need to consider who is repeatedly screened out.",한편 connects parallel effects rather than only simultaneous actions.,grammar_c1_while_also_consider,müssen wir auch berücksichtigen,also need to consider,true,grammar_c1_limited_to|grammar_c1_not_necessarily|grammar_c1_insufficient_for
N에 따라 효과가 달라질 수 있다,C1,gruppenabhängige Wirkung,"Begrenzt eine Gesamtaussage, indem mögliche Unterschiede zwischen Gruppen benannt werden.",체류 자격과 돌봄 조건에 따라 지원 정책의 효과가 달라질 수 있습니다.,Die Wirkung der Unterstützung kann je nach Aufenthaltsstatus und Betreuungssituation unterschiedlich ausfallen.,에 따라 benennt die Vergleichsachse der möglichen Unterschiede.,Effects may vary by,Qualifies an overall claim by naming possible differences across groups.,The effect of support may vary by residence status and care arrangements.,에 따라 names the axis along which effects may differ.,grammar_c1_effect_varies_by,je nach Aufenthaltsstatus,may vary by residence status,true,grammar_c1_limited_to|grammar_c1_not_necessarily|grammar_c1_insufficient_for
V-는 과정에서 N이 배제되다,C1,Ausschluss im Verfahren,"Lenkt den Blick auf eine Gruppe oder Perspektive, die während eines Ablaufs verloren geht.",콘텐츠를 현지화하는 과정에서 지역 팬의 해석이 배제될 수 있습니다.,Bei der Lokalisierung von Inhalten können Deutungen lokaler Fans ausgeschlossen werden.,과정에서 macht den Ausschluss als Verfahrensfolge sichtbar.,Excluded in the process,Highlights a group or perspective that may be lost during a process.,Local fans' interpretations can be excluded in the process of localizing content.,과정에서 frames the exclusion as a process effect.,grammar_c1_excluded_in_process,können Deutungen lokaler Fans ausgeschlossen werden,can be excluded in the process,true,grammar_c1_limited_to|grammar_c1_not_necessarily|grammar_c1_insufficient_for
N을/를 전제로 삼다,C2,eine Prämisse setzen,"Macht die oft unausgesprochene Annahme sichtbar, auf der eine Bewertung beruht.",이 기준은 모든 가구가 같은 지출 구조를 가진다는 점을 전제로 삼습니다.,"Dieses Kriterium setzt voraus, dass alle Haushalte dieselbe Ausgabenstruktur haben.","전제는 이후의 논증을 떠받치는 Annahme, nicht das Ergebnis.",Taking as a premise,Makes visible the often unstated assumption on which an assessment rests.,This criterion assumes that all households have the same spending structure.,The premise supports the argument; it is not the conclusion.,grammar_c2_take_as_premise,setzt voraus,assumes that,true,grammar_c2_no_more_than_doing|grammar_c2_merely_on_grounds|grammar_c2_as_if_framing
N을/를 누구의 관점에서 정의하느냐에 따라,C2,Definition und Perspektive,"Zeigt, dass die Bedeutung eines Schlüsselbegriffs von der institutionellen Perspektive abhängt.",효율을 누구의 관점에서 정의하느냐에 따라 자동화의 평가는 달라집니다.,"Je nachdem, aus wessen Sicht Effizienz definiert wird, fällt die Bewertung der Automatisierung anders aus.","누구의 관점 benennt die Position, die sonst unsichtbar bliebe.",Definition by viewpoint,Shows that the meaning of a key term depends on the institutional viewpoint.,"Depending on whose perspective defines efficiency, the assessment of automation changes.",누구의 관점 names the position that would otherwise remain hidden.,grammar_c2_definition_by_viewpoint,"Je nachdem, aus wessen Sicht",Depending on whose perspective,true,grammar_c2_no_more_than_doing|grammar_c2_merely_on_grounds|grammar_c2_as_if_framing
