id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0589,A1,켜다,"einschalten, anmachen",to turn on,rights: original_clean_room; pack=a1_daily_3; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0590,A1,끄다,"ausschalten, ausmachen",to turn off,rights: original_clean_room; pack=a1_daily_3; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0591,A1,웃다,lachen,to laugh,rights: original_clean_room; pack=a1_daily_3; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0592,A1,가방,Tasche,bag,rights: original_clean_room; pack=a1_belongings_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0593,A1,볼펜,Kugelschreiber,ballpoint pen,rights: original_clean_room; pack=a1_belongings_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0594,A1,수첩,Notizbuch,notebook,rights: original_clean_room; pack=a1_belongings_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0595,A1,카메라,Kamera,camera,rights: original_clean_room; pack=a1_belongings_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0596,A1,티셔츠,T-Shirt,T-shirt,rights: original_clean_room; pack=a1_belongings_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0597,A1,바지,Hose,pants,rights: original_clean_room; pack=a1_belongings_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0598,A1,운동화,Sportschuhe,sneakers,rights: original_clean_room; pack=a1_belongings_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0599,A1,잔,"Glas, Tasse","cup, glass",rights: original_clean_room; pack=a1_belongings_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0600,A1,표,"Ticket, Karte",ticket,rights: original_clean_room; pack=a1_belongings_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0601,A1,신문,Zeitung,newspaper,rights: original_clean_room; pack=a1_belongings_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
vocab_a1_0602,A1,학생증,Studentenausweis,student ID,rights: original_clean_room; pack=a1_belongings_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 27 A1 reinforcement,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
