id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a2_0504,A2,이사,Umzug,move (house),rights: original_clean_room; pack=a2_daily_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0505,A2,정리,"Aufräumen, Ordnung","tidying up, organizing",rights: original_clean_room; pack=a2_daily_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0506,A2,외출,Ausgehen,going out,rights: original_clean_room; pack=a2_daily_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0507,A2,빨래,Wäsche,laundry,rights: original_clean_room; pack=a2_daily_2; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0508,A2,쓰레기,Müll,trash,rights: original_clean_room; pack=a2_daily_2; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0509,A2,버리다,wegwerfen,to throw away,rights: original_clean_room; pack=a2_daily_2; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0510,A2,낮잠,Mittagsschlaf,nap,rights: original_clean_room; pack=a2_daily_2; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0511,A2,닦다,"wischen, putzen","to wipe, to clean",rights: original_clean_room; pack=a2_daily_3; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0512,A2,돌리다,"laufen lassen, drehen","to run (an appliance), to turn",rights: original_clean_room; pack=a2_daily_3; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0513,A2,마치다,beenden,to finish,rights: original_clean_room; pack=a2_daily_3; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0514,A2,갈아입다,sich umziehen,to change clothes,rights: original_clean_room; pack=a2_daily_3; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0515,A2,걱정,Sorge,worry,rights: original_clean_room; pack=a2_feelings_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0516,A2,짜증,"Verdruss, Ärger","annoyance, irritation",rights: original_clean_room; pack=a2_feelings_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0517,A2,화내다,wütend werden,to get angry,rights: original_clean_room; pack=a2_feelings_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0518,A2,깜짝,plötzlich (erschrocken),suddenly (startled),rights: original_clean_room; pack=a2_feelings_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0519,A2,기뻐하다,sich freuen,"to be glad, to be pleased",rights: original_clean_room; pack=a2_feelings_2; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0520,A2,슬퍼하다,traurig sein,"to be sad, to grieve",rights: original_clean_room; pack=a2_feelings_2; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0521,A2,간단하다,einfach,simple,rights: original_clean_room; pack=a2_descriptions_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0522,A2,착하다,"gutherzig, brav","kind-hearted, good-natured",rights: original_clean_room; pack=a2_descriptions_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0523,A2,똑똑하다,"klug, schlau","smart, clever",rights: original_clean_room; pack=a2_descriptions_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0524,A2,귀찮다,"lästig, mühsam","bothersome, annoying (of a task)",rights: original_clean_room; pack=a2_descriptions_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0525,A2,충분하다,"ausreichend, genug","sufficient, enough",rights: original_clean_room; pack=a2_descriptions_2; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0526,A2,튼튼하다,"stabil, robust","sturdy, strong",rights: original_clean_room; pack=a2_descriptions_2; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0527,A2,장마,Regenzeit,monsoon (rainy season),rights: original_clean_room; pack=a2_weather; order=10; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0528,A2,안개,Nebel,fog,rights: original_clean_room; pack=a2_weather; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0529,A2,태풍,Taifun,typhoon,rights: original_clean_room; pack=a2_weather; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0530,A2,계단,Treppe,stairs,rights: original_clean_room; pack=a2_home_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
vocab_a2_0531,A2,마당,"Hof, Garten","yard, courtyard",rights: original_clean_room; pack=a2_home_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 31 A2 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
