id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0713,a1,이 케이크가 가장 맛있어요.,Dieser Kuchen ist am leckersten.,This cake is the tastiest.,rights: original_clean_room; answer=가장; topic=Alltag; unit=a1_13_register_switching; derived from vocab_a1_0779,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0714,a1,저는 배가 아파요. 그래서 병원에 가요.,Mein Bauch tut weh. Deshalb gehe ich ins Krankenhaus.,My stomach hurts. So I'm going to the hospital.,rights: original_clean_room; answer=그래서; topic=Gesundheit; unit=a1_13_register_switching; derived from vocab_a1_0780,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0715,a1,저는 시간이 없어요. 그러니까 빨리 가요.,Ich habe keine Zeit. Deswegen gehe ich schnell.,I have no time. So let's go quickly.,rights: original_clean_room; answer=그러니까; topic=Alltag; unit=a1_13_register_switching; derived from vocab_a1_0781,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0716,a1,"민호 씨, 배가 고파요? 그러면 같이 밥을 먹어요.","Minho, hast du Hunger? Dann lasst uns zusammen essen.","Minho, are you hungry? Then let's eat together.",rights: original_clean_room; answer=그러면; topic=Essen & Trinken; unit=a1_13_register_switching; derived from vocab_a1_0782,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0717,a1,이 가방이 예뻐요. 그런데 너무 비싸요.,Diese Tasche ist hübsch. Aber sie ist zu teuer.,This bag is pretty. But it's too expensive.,rights: original_clean_room; answer=그런데; topic=Einkaufen; unit=a1_13_register_switching; derived from vocab_a1_0783,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0718,a1,"레나 씨, 오늘 바빠요? 그럼 내일 만나요.","Lena, bist du heute beschäftigt? Dann treffen wir uns morgen.","Lena, are you busy today? Then let's meet tomorrow.",rights: original_clean_room; answer=그럼; topic=Alltag; unit=a1_13_register_switching; derived from vocab_a1_0784,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0719,a1,이 음식이 매워요. 그렇지만 맛있어요.,Dieses Essen ist scharf. Aber es ist lecker.,This food is spicy. But it's delicious.,rights: original_clean_room; answer=그렇지만; topic=Essen & Trinken; unit=a1_13_register_switching; derived from vocab_a1_0785,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0720,a1,저는 아침에 빵을 먹어요. 그리고 커피를 마셔요.,Am Morgen esse ich Brot. Und ich trinke Kaffee.,In the morning I eat bread. And I drink coffee.,rights: original_clean_room; answer=그리고; topic=Essen & Trinken; unit=a1_13_register_switching; derived from vocab_a1_0786,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0721,a1,저는 매운 음식을 못 먹어요.,Ich kann kein scharfes Essen essen.,I can't eat spicy food.,rights: original_clean_room; answer=못 먹어요; topic=Essen & Trinken; unit=a1_13_register_switching; derived from vocab_a1_0787,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0722,a1,저는 보통 아침에 커피를 마셔요.,Normalerweise trinke ich morgens Kaffee.,I usually drink coffee in the morning.,rights: original_clean_room; answer=보통; topic=Alltag; unit=a1_13_register_switching; derived from vocab_a1_0788,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0723,a1,이 영화가 아주 재미있어요.,Dieser Film ist sehr interessant.,This movie is very interesting.,rights: original_clean_room; answer=아주; topic=Freizeit; unit=a1_13_register_switching; derived from vocab_a1_0789,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0724,a1,저는 아직 숙제를 안 했어요.,Ich habe die Hausaufgaben noch nicht gemacht.,I haven't done my homework yet.,rights: original_clean_room; answer=아직; topic=Bildung; unit=a1_13_register_switching; derived from vocab_a1_0790,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0725,a1,"선생님, 안녕히 가세요!","Lehrer, auf Wiedersehen!","Teacher, goodbye!",rights: original_clean_room; answer=안녕히; topic=Begrüßung; unit=a1_13_register_switching; derived from vocab_a1_0791,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0726,a1,이 가방이 얼마나 비싸요?,Wie teuer ist diese Tasche?,How expensive is this bag?,rights: original_clean_room; answer=얼마나; topic=Einkaufen; unit=a1_13_register_switching; derived from vocab_a1_0792,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0727,a1,저는 한국어를 열심히 공부해요.,Ich lerne fleißig Koreanisch.,I study Korean hard.,rights: original_clean_room; answer=열심히; topic=Bildung; unit=a1_13_register_switching; derived from vocab_a1_0793,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0728,a1,이 우산이 왜 여기 있어요?,Warum ist dieser Regenschirm hier?,Why is this umbrella here?,rights: original_clean_room; answer=왜 여기; topic=Alltag; unit=a1_13_register_switching; derived from vocab_a1_0794,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0729,a1,저는 잠을 잘 자요.,Ich schlafe gut.,I sleep well.,rights: original_clean_room; answer=잘 자요; topic=Alltag; unit=a1_13_register_switching; derived from vocab_a1_0795,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0730,a1,이 김치찌개가 참 맛있어요.,Dieser Kimchi-Eintopf ist wirklich lecker.,This kimchi stew is really delicious.,rights: original_clean_room; answer=참 맛있어요; topic=Essen & Trinken; unit=a1_13_register_switching; derived from vocab_a1_0796,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0731,a1,저는 피곤해요. 하지만 숙제를 해요.,Ich bin müde. Aber ich mache die Hausaufgaben.,I'm tired. But I do my homework.,rights: original_clean_room; answer=하지만; topic=Bildung; unit=a1_13_register_switching; derived from vocab_a1_0797,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0732,a1,그는 한국어 학생이에요.,Er ist ein Koreanisch-Student.,He is a Korean-language student.,rights: original_clean_room; answer=그는; topic=Beruf; unit=a1_08_clarify_repair; derived from vocab_a1_0798,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0733,a1,그것은 안 비싸요.,Das ist nicht teuer.,That is not expensive.,rights: original_clean_room; answer=그것은; topic=Einkaufen; unit=a1_08_clarify_repair; derived from vocab_a1_0799,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0734,a1,이 지하철은 그쪽으로 안 가요.,Diese U-Bahn fährt nicht in die Richtung.,This subway doesn't go that way.,rights: original_clean_room; answer=그쪽으로; topic=Verkehr; unit=a1_08_clarify_repair; derived from vocab_a1_0800,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0735,a1,내 이름은 준이에요.,Mein Name ist Jun.,My name is Jun.,rights: original_clean_room; answer=내 이름은; topic=Selbstvorstellung; unit=a1_08_clarify_repair; derived from vocab_a1_0801,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0736,a1,이것은 정말 무엇이에요?,Was ist das eigentlich?,What on earth is this?,rights: original_clean_room; answer=무엇이에요; topic=Alltag; unit=a1_08_clarify_repair; derived from vocab_a1_0802,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0737,a1,저 사람은 이름이 뭐예요?,Wie heißt diese Person?,What is that person's name?,rights: original_clean_room; answer=뭐예요; topic=Selbstvorstellung; unit=a1_08_clarify_repair; derived from vocab_a1_0803,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0738,a1,지금 화장실이 어디예요?,Wo ist jetzt die Toilette?,Where is the bathroom right now?,rights: original_clean_room; answer=어디예요; topic=Alltag; unit=a1_08_clarify_repair; derived from vocab_a1_0804,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0739,a1,선생님 생일이 언제예요?,Wann ist der Geburtstag des Lehrers?,When is the teacher's birthday?,rights: original_clean_room; answer=언제예요; topic=Alltag; unit=a1_08_clarify_repair; derived from vocab_a1_0805,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0740,a1,이것은 제 우산이에요.,Das ist mein Regenschirm.,This is my umbrella.,rights: original_clean_room; answer=이것은; topic=Alltag; unit=a1_08_clarify_repair; derived from vocab_a1_0806,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0741,a1,저랑 이쪽으로 오세요.,Kommen Sie mit mir hierher.,Come this way with me.,rights: original_clean_room; answer=이쪽으로; topic=Alltag; unit=a1_08_clarify_repair; derived from vocab_a1_0807,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0742,a1,저것은 제 우산이 아니에요.,Das dort ist nicht mein Regenschirm.,That over there is not my umbrella.,rights: original_clean_room; answer=저것은; topic=Alltag; unit=a1_08_clarify_repair; derived from vocab_a1_0808,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0743,a1,저쪽에 화장실이 있어요.,Die Toilette ist dort drüben.,The bathroom is over that way.,rights: original_clean_room; answer=저쪽에; topic=Alltag; unit=a1_08_clarify_repair; derived from vocab_a1_0809,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0744,a1,이 가게에 과일이 세 가지 있어요.,Dieser Laden hat drei Sorten Obst.,This store has three kinds of fruit.,rights: original_clean_room; answer=세 가지; topic=Einkaufen; unit=a1_05_numbers_time; derived from vocab_a1_0810,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0745,a1,이 우산은 제 것이에요.,Dieser Regenschirm gehört mir.,This umbrella is mine.,rights: original_clean_room; answer=제 것이에요; topic=Alltag; unit=a1_05_numbers_time; derived from vocab_a1_0811,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0746,a1,저는 책을 두 권 샀어요.,Ich habe zwei Bücher gekauft.,I bought two books.,rights: original_clean_room; answer=두 권; topic=Bildung; unit=a1_05_numbers_time; derived from vocab_a1_0812,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0747,a1,저는 한국에서 삼 년 살았어요.,Ich habe drei Jahre in Korea gelebt.,I lived in Korea for three years.,rights: original_clean_room; answer=삼 년; topic=Alltag; unit=a1_05_numbers_time; derived from vocab_a1_0813,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0748,a1,시험 때 저는 커피를 마셔요.,Während der Prüfung trinke ich Kaffee.,"During exams, I drink coffee.",rights: original_clean_room; answer=시험 때; topic=Bildung; unit=a1_05_numbers_time; derived from vocab_a1_0814,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0749,a1,저는 고양이가 두 마리 있어요.,Ich habe zwei Katzen.,I have two cats.,rights: original_clean_room; answer=두 마리; topic=Tiere; unit=a1_05_numbers_time; derived from vocab_a1_0815,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0750,a1,교실에 학생이 열 명 있어요.,Im Klassenzimmer sind zehn Schüler.,There are ten students in the classroom.,rights: original_clean_room; answer=열 명; topic=Bildung; unit=a1_05_numbers_time; derived from vocab_a1_0816,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a1_0751,a1,이 버스는 삼 번이에요.,Dieser Bus ist Nummer drei.,This bus is number three.,rights: original_clean_room; answer=삼 번이에요; topic=Verkehr; unit=a1_05_numbers_time; derived from vocab_a1_0817,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
