id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a2_0375,a2,가방이 너무 무거워서 어깨가 아파요.,"Die Tasche ist zu schwer, deshalb tut meine Schulter weh.","The bag is too heavy, so my shoulder hurts.",rights: original_clean_room; answer=어깨가; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0568,pending,
cloze_a2_0376,a2,너무 뛰어서 가슴이 아파요.,"Ich bin zu viel gerannt, deshalb tut meine Brust weh.","I ran too much, so my chest hurts.",rights: original_clean_room; answer=가슴이; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0569,pending,
cloze_a2_0377,a2,의자에 오래 앉아서 허리가 아파요.,"Ich habe lange auf dem Stuhl gesessen, deshalb tut meine Taille weh.","I sat on the chair for a long time, so my waist hurts.",rights: original_clean_room; answer=허리가; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0570,pending,
cloze_a2_0378,a2,"레나 씨, 제 손가락이 길어요.","Lena, meine Finger sind lang.","Lena, my fingers are long.",rights: original_clean_room; answer=손가락이; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0571,pending,
cloze_a2_0379,a2,긴장해서 손바닥에 땀이 났어요.,"Ich war nervös, deshalb hatte ich Schweiß in der Handfläche.","I was nervous, so my palm got sweaty.",rights: original_clean_room; answer=손바닥에; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0572,pending,
cloze_a2_0380,a2,신발이 작아서 발가락이 아파요.,"Die Schuhe sind zu klein, deshalb tun meine Zehen weh.","The shoes are too small, so my toes hurt.",rights: original_clean_room; answer=발가락이; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0573,pending,
cloze_a2_0381,a2,많이 걸어서 발바닥이 아파요.,"Ich bin viel gelaufen, deshalb tut meine Fußsohle weh.","I walked a lot, so the sole of my foot hurts.",rights: original_clean_room; answer=발바닥이; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0574,pending,
cloze_a2_0382,a2,이마에 땀이 많이 났어요.,Auf meiner Stirn ist viel Schweiß.,There is a lot of sweat on my forehead.,rights: original_clean_room; answer=이마에; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0575,pending,
cloze_a2_0383,a2,매운 음식을 먹어서 혀가 아파요.,"Ich habe scharfes Essen gegessen, deshalb tut meine Zunge weh.","I ate spicy food, so my tongue hurts.",rights: original_clean_room; answer=혀가; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0576,pending,
cloze_a2_0384,a2,"수진 씨, 목소리가 하나도 안 들려요!","Sujin, ich kann Sie überhaupt nicht hören!","Sujin, I can't hear you at all!",rights: original_clean_room; answer=목소리가; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0577,pending,
cloze_a2_0385,a2,너무 피곤해서 침대에 누웠어요.,"Ich war zu müde, deshalb habe ich mich ins Bett gelegt.","I was too tired, so I lay down on the bed.",rights: original_clean_room; answer=누웠어요; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0578,pending,
cloze_a2_0386,a2,날씨가 더워서 땀을 많이 흘렸어요.,"Das Wetter war heiß, deshalb habe ich viel geschwitzt.","The weather was hot, so I sweated a lot.",rights: original_clean_room; answer=흘렸어요; topic=Körper; unit=(assigned at promotion); derived from vocab_a2_0579,pending,
cloze_a2_0387,a2,여름에는 시원한 국수를 자주 먹어요.,Im Sommer esse ich oft kühle Nudeln.,"In summer, I often eat cold noodles.",rights: original_clean_room; answer=국수를; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0580,pending,
cloze_a2_0388,a2,비빔밥에 고추장을 넣어요.,Man gibt Chilipaste in den Bibimbap.,You put gochujang into bibimbap.,rights: original_clean_room; answer=고추장을; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0581,pending,
cloze_a2_0389,a2,저희 어머니는 된장을 직접 만드세요.,Meine Mutter macht Sojabohnenpaste selbst.,My mother makes doenjang herself.,rights: original_clean_room; answer=된장을; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0582,pending,
cloze_a2_0390,a2,찌개에 두부를 많이 넣었어요.,Ich habe viel Tofu in den Eintopf gegeben.,I put a lot of tofu in the stew.,rights: original_clean_room; answer=두부를; topic=Essen & Trinken; unit=(assigned at promotion); derived from vocab_a2_0583,pending,
