id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_b1_0037,B1,이 버스가 시청역에 가는지 아세요?,"Wissen Sie, ob dieser Bus zur Station City Hall fährt?",Do you know whether this bus goes to City Hall Station?,category=transport; kind=question; relationship=service; reply and safe alternative in draft,draft,
smalltalk_b1_0038,B1,출근 시간에는 지하철이 너무 붐비는 편이에요.,Zur Pendelzeit ist die U-Bahn ziemlich voll.,The subway is fairly crowded during rush hour.,category=transport; kind=opener; relationship=coworker; follow-up in draft,draft,
smalltalk_b1_0039,B1,이 상품은 교환이나 환불이 가능한가요?,Kann ich diesen Artikel umtauschen oder zurückgeben?,Can I exchange or return this item?,category=shopping; kind=question; relationship=service; reply and safe alternative in draft,draft,
smalltalk_b1_0040,B1,요즘은 필요한 것만 사려고 노력해요.,"In letzter Zeit versuche ich, nur das zu kaufen, was ich wirklich brauche.",These days I try to buy only what I really need.,category=shopping; kind=opener; relationship=peer; follow-up in draft,draft,
smalltalk_b1_0041,B1,"지금 통화 괜찮으세요, 아니면 나중에 다시 연락드릴까요?","Passt ein Anruf gerade, oder soll ich mich später noch einmal melden?","Is now a good time to talk, or should I contact you again later?",category=phone; kind=question; relationship=coworker; reply and safe alternative in draft,draft,
smalltalk_b1_0042,B1,전화보다 메시지로 먼저 연락하는 편이에요.,Ich nehme meist erst per Nachricht Kontakt auf statt direkt anzurufen.,I tend to message first rather than call right away.,category=phone; kind=opener; relationship=peer; follow-up in draft,draft,
smalltalk_b1_0043,B1,지갑을 잃어버렸는데 어디에 신고해야 하나요?,Ich habe meine Geldbörse verloren. Wo sollte ich das melden?,I lost my wallet. Where should I report it?,category=emergency; kind=question; relationship=service; reply and safe alternative in draft,draft,
smalltalk_b1_0044,B1,비상시에 연락할 사람의 번호를 휴대폰에 저장해 뒀어요.,Ich habe die Nummer einer Kontaktperson für Notfälle im Handy gespeichert.,I saved the number of an emergency contact in my phone.,category=emergency; kind=opener; relationship=peer; follow-up in draft,draft,
smalltalk_b2_0037,B2,이 열차가 공항까지 가는 가장 빠른 경로인지 확인해 주시겠습니까?,"Könnten Sie bestätigen, ob dieser Zug die schnellste Verbindung zum Flughafen ist?",Could you confirm whether this train is the fastest route to the airport?,category=transport; kind=question; relationship=service; reply and safe alternative in draft,draft,
smalltalk_b2_0038,B2,교통 상황이 불확실할 때는 약속 시간보다 일찍 출발하는 편입니다.,"Wenn die Verkehrslage unsicher ist, fahre ich lieber früher los als verabredet.","When traffic is uncertain, I tend to leave earlier than the meeting time requires.",category=transport; kind=opener; relationship=coworker; follow-up in draft,draft,
smalltalk_b2_0039,B2,구매 조건을 서면으로 확인할 수 있을까요?,Könnte ich die Kaufbedingungen schriftlich bestätigt bekommen?,Could I have the purchase terms confirmed in writing?,category=shopping; kind=question; relationship=service; reply and safe alternative in draft,draft,
smalltalk_b2_0040,B2,값보다 환불 조건을 먼저 확인하는 편이에요.,Ich prüfe meist zuerst die Rückgabebedingungen und nicht nur den Preis.,I tend to check the return conditions before the price.,category=shopping; kind=opener; relationship=peer; follow-up in draft,draft,
smalltalk_b2_0041,B2,지금 통화가 어려우시면 가능한 시간을 알려 주시겠습니까?,"Wenn ein Gespräch jetzt schwierig ist, könnten Sie mir bitte eine mögliche Uhrzeit nennen?","If it is difficult to talk now, could you please let me know a suitable time?",category=phone; kind=question; relationship=coworker; reply and safe alternative in draft,draft,
smalltalk_b2_0042,B2,중요한 내용은 통화 후에 메일로 다시 정리해 두는 편이에요.,Wichtige Punkte fasse ich nach einem Telefonat meist noch einmal per E-Mail zusammen.,I tend to summarize important points by email after a call.,category=phone; kind=opener; relationship=coworker; follow-up in draft,draft,
smalltalk_b2_0043,B2,긴급한 상황인데 도움을 받을 수 있는 담당 부서로 연결해 주시겠습니까?,Es handelt sich um eine dringende Situation. Könnten Sie mich mit der zuständigen Stelle verbinden?,This is an urgent situation. Could you connect me with the responsible department?,category=emergency; kind=question; relationship=service; reply and safe alternative in draft,draft,
smalltalk_b2_0044,B2,비상 상황에서는 정확한 위치와 상황을 먼저 설명하는 것이 중요하더라고요.,"In einer Notlage ist es wichtig, zuerst den genauen Ort und die Situation zu erklären.","In an emergency, it is important to explain the exact location and situation first.",category=emergency; kind=opener; relationship=peer; follow-up in draft,draft,
