id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0308,A1,우표,Briefmarke,stamp,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0309,A1,소포,Paket,parcel,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0310,A1,등기,Einschreiben,registered mail,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0311,A1,우편함,Briefkasten,mailbox,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0312,A1,부치다,aufgeben,to mail,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0313,A1,무게,Gewicht,weight,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0314,A1,주소,Adresse,address,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0315,A1,보내는 사람,Absender,sender,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0316,A1,받는 사람,Empfänger,recipient,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0317,A1,도착 문자,Zustellnachricht,delivery text,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0318,A1,포장지,Packpapier,wrapping paper,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0319,A1,창구,Schalter,counter,rights: original; pack: a1_post_office_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0320,A1,연고,Salbe,ointment,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0321,A1,마스크,Maske,mask,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0322,A1,계산대,Kasse,checkout,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0323,A1,복용 시간,Einnahmezeit,dose time,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0324,A1,일회용 밴드,Pflaster,adhesive bandage,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0325,A1,체온계,Fieberthermometer,thermometer,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0326,A1,가글액,Mundspülung,mouthwash,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0327,A1,비타민제,Vitaminpräparat,vitamin supplement,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0328,A1,알레르기,Allergie,allergy,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0329,A1,무처방,rezeptfrei,over the counter,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0330,A1,파스,Schmerzpflaster,pain relief patch,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0331,A1,제산제,Antazidum,antacid,rights: original; pack: a1_pharmacy_ask_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0332,A1,늦잠,Ausschlafen,sleeping in,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0333,A1,약속 시간,Terminzeit,meeting time,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0334,A1,약속 장소,Treffpunkt,meeting place,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
vocab_a1_0335,A1,취소하다,absagen,to cancel,rights: original; pack: a1_weekend_promise_1; canonical sentence derives matching cloze/satz,approved,Jin explicit app-integration approval (2026-08-15).
