id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0374,a1,크리스티안은 지금 회사원이에요.,Christian ist jetzt Angestellter.,Christian is now an office worker.,rights: original_clean_room; vocabKo=회사원; unit=a1_02_self_intro_identity; source vocab_a1_0459,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0375,a1,제 어머니는 주부예요.,Meine Mutter ist Hausfrau.,My mother is a housewife.,rights: original_clean_room; vocabKo=주부; unit=a1_02_self_intro_identity; source vocab_a1_0460,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0376,a1,저 사람은 누구예요?,Wer ist die Person dort?,Who is that person?,rights: original_clean_room; vocabKo=누구; unit=a1_02_self_intro_identity; source vocab_a1_0461,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0377,a1,"여러분, 모두 안녕하세요!","Hallo, alle zusammen!","Hello, everyone!",rights: original_clean_room; vocabKo=여러분; unit=a1_02_self_intro_identity; source vocab_a1_0462,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0378,a1,아침에 우유를 마셔요.,Am Morgen trinke ich Milch.,I drink milk in the morning.,rights: original_clean_room; vocabKo=우유; unit=a1_04_order_request_object; source vocab_a1_0463,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0379,a1,저는 귤을 좋아해요.,Ich mag Mandarinen.,I like tangerines.,rights: original_clean_room; vocabKo=귤; unit=a1_04_order_request_object; source vocab_a1_0464,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0380,a1,저는 바나나를 좋아해요.,Ich mag Bananen.,I like bananas.,rights: original_clean_room; vocabKo=바나나; unit=a1_04_order_request_object; source vocab_a1_0465,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0381,a1,생일에 케이크를 먹어요.,Am Geburtstag isst man Kuchen.,We eat cake on birthdays.,rights: original_clean_room; vocabKo=케이크; unit=a1_04_order_request_object; source vocab_a1_0466,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0382,a1,모레 다시 만나요.,Wir treffen uns übermorgen wieder.,Let's meet again the day after tomorrow.,rights: original_clean_room; vocabKo=모레; unit=a1_05_numbers_time; source vocab_a1_0467,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0383,a1,그저께 학교에 안 갔어요.,Vorgestern bin ich nicht zur Schule gegangen.,I didn't go to school the day before yesterday.,rights: original_clean_room; vocabKo=그저께; unit=a1_05_numbers_time; source vocab_a1_0468,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0384,a1,작년에 한국에 왔어요.,Letztes Jahr bin ich nach Korea gekommen.,I came to Korea last year.,rights: original_clean_room; vocabKo=작년; unit=a1_05_numbers_time; source vocab_a1_0469,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0385,a1,내년에 독일에 가요.,Nächstes Jahr fahre ich nach Deutschland.,Next year I'm going to Germany.,rights: original_clean_room; vocabKo=내년; unit=a1_05_numbers_time; source vocab_a1_0470,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0386,a1,친구가 한 명 있어요.,Ich habe einen Freund.,I have one friend.,rights: original_clean_room; vocabKo=한; unit=a1_05_numbers_time; source vocab_a1_0471,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0387,a1,친구가 두 명 있어요.,Ich habe zwei Freunde.,I have two friends.,rights: original_clean_room; vocabKo=두; unit=a1_05_numbers_time; source vocab_a1_0472,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0388,a1,가족이 세 명이에요.,Meine Familie hat drei Personen.,My family has three people.,rights: original_clean_room; vocabKo=세; unit=a1_05_numbers_time; source vocab_a1_0473,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0389,a1,어느 나라에서 왔어요?,Aus welchem Land kommen Sie?,Which country are you from?,rights: original_clean_room; vocabKo=어느; unit=a1_05_numbers_time; source vocab_a1_0474,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0390,a1,이따가 학교에 가요.,Ich gehe später zur Schule.,I'll go to school later.,rights: original_clean_room; vocabKo=이따가; unit=a1_05_numbers_time; source vocab_a1_0475,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0391,a1,저는 지금 바로 가요.,Ich gehe jetzt sofort.,I'm going right now.,rights: original_clean_room; vocabKo=바로; unit=a1_05_numbers_time; source vocab_a1_0476,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0392,a1,저는 주로 아침에 커피를 마셔요.,Ich trinke morgens meistens Kaffee.,I usually drink coffee in the morning.,rights: original_clean_room; vocabKo=주로; unit=a1_05_numbers_time; source vocab_a1_0477,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0393,a1,저희 가게에 어서 오세요!,Herzlich willkommen in unserem Geschäft!,Welcome to our shop!,rights: original_clean_room; vocabKo=어서; unit=a1_05_numbers_time; source vocab_a1_0478,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0394,a1,"예, 잘 알겠습니다.","Ja, ich habe es gut verstanden.","Yes, I understand well.",rights: original_clean_room; vocabKo=예; unit=a1_01_greetings_hangul; source vocab_a1_0479,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0395,a1,"글쎄요, 저도 모르겠어요.","Na ja, ich weiß es auch nicht.",Well... I don't know either.,rights: original_clean_room; vocabKo=글쎄요; unit=a1_01_greetings_hangul; source vocab_a1_0480,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0396,a1,"와, 정말 좋아요!","Wow, das ist wirklich toll!","Wow, that's really great!",rights: original_clean_room; vocabKo=와; unit=a1_01_greetings_hangul; source vocab_a1_0481,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0397,a1,"음, 잘 모르겠어요.","Hm, ich weiß es nicht genau.","Hmm, I don't really know.",rights: original_clean_room; vocabKo=음; unit=a1_01_greetings_hangul; source vocab_a1_0482,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0398,a1,밥을 다 먹었어요.,Ich habe alles aufgegessen.,I ate everything.,rights: original_clean_room; vocabKo=다; unit=a1_12_daily_negation; source vocab_a1_0483,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0399,a1,물 좀 주세요.,Bitte geben Sie mir etwas Wasser.,Please give me some water.,rights: original_clean_room; vocabKo=좀; unit=a1_12_daily_negation; source vocab_a1_0484,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0400,a1,내일 꼭 오세요.,Kommen Sie morgen unbedingt.,Please be sure to come tomorrow.,rights: original_clean_room; vocabKo=꼭; unit=a1_12_daily_negation; source vocab_a1_0485,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0401,a1,우리 함께 가요.,Lass uns zusammen gehen.,Let's go together.,rights: original_clean_room; vocabKo=함께; unit=a1_12_daily_negation; source vocab_a1_0486,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0402,a1,이 물건을 주세요.,Geben Sie mir bitte diesen Artikel.,Please give me this item.,rights: original_clean_room; vocabKo=물건; unit=a1_14_payment_delivery; source vocab_a1_0487,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0403,a1,이 신발 값이 싸요.,Diese Schuhe sind billig.,These shoes are cheap.,rights: original_clean_room; vocabKo=값; unit=a1_14_payment_delivery; source vocab_a1_0488,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
satz_a1_0404,a1,지금 물이 필요해요.,Ich brauche jetzt Wasser.,I need water now.,rights: original_clean_room; vocabKo=필요; unit=a1_14_payment_delivery; source vocab_a1_0489,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
