id,level,ko,de,en,field_notes,상태,jin_memo
c2_ethics_embargo_disclosure_window,C2,엠바고를 전제로 승인합니다,Wir genehmigen unter der Voraussetzung einer Sperrfrist,We approve on the premise of an embargo period,rights: original; shelf=c2_ethics; grammar=N을 전제로; gap answer=전제로,approved,
c2_ethics_consent_form_scope_gap,C2,서명란 하나로는 부족합니다,Ein Unterschriftenfeld reicht nicht aus,One signature line isn't enough,rights: original; shelf=c2_ethics; grammar=N에 불과하다; gap answer=불과합니다,approved,
c2_ethics_reviewer_dual_appointment_disclosure,C2,겸직은 신고 대상입니다,Eine Nebentätigkeit muss gemeldet werden,A dual role must be disclosed,rights: original; shelf=c2_ethics; grammar=A/V-는다고 치더라도; gap answer=치더라도,approved,
c2_ethics_misconduct_review_procedure_defined,C2,부정의 정의부터 정합니다,Zuerst wird der Begriff des Fehlverhaltens definiert,The definition of misconduct comes first,rights: original; shelf=c2_ethics; grammar=N이라 함은; gap answer=함은,approved,
c2_history_compile_committee_wording_dispute,C2,그 표현은 다시 봐야 합니다,Diese Formulierung muss noch einmal geprüft werden,That wording needs a second look,rights: original; shelf=c2_history; grammar=N와/과 무관하게; gap answer=무관하게,approved,
c2_history_monument_inscription_agreement,C2,짧을지언정 빠뜨릴 수 없습니다,"Auch wenn es kurz sein mag, darf nichts fehlen","Even if it's short, nothing can be left out",rights: original; shelf=c2_history; grammar=V-(으)ㄹ지언정; gap answer=않을지언정,approved,
c2_history_sealed_records_disclosure_timing,C2,봉인 해제라 함은,Was Entsiegelung bedeutet,What unsealing means,rights: original; shelf=c2_history; grammar=N이라 함은; gap answer=라 함은,approved,
c2_history_merging_conflicting_testimonies,C2,두 증언을 하나로,Zwei Zeugenaussagen zu einer zusammenführen,Merging two testimonies into one,rights: original; shelf=c2_history; grammar=N을/를 전제로; gap answer=전제로 하면,approved,
c2_aesthetic_poem_rhythm_meaning_loss,C2,운율을 살리면 뜻이 흔들립니다,"Rhythmus zu retten heißt, den Sinn zu verschieben",Saving the rhythm shifts the meaning,rights: original; shelf=c2_aesthetic; grammar=N에 불과하다; gap answer=에 불과합니다,approved,
c2_aesthetic_dialect_subtitle_flatten,C2,사투리를 지울지언정 목소리는 남겨야죠,"Man mag den Dialekt tilgen, aber die Stimme muss bleiben","You may erase the dialect, but the voice must remain",rights: original; shelf=c2_aesthetic; grammar=V-(으)ㄹ지언정; gap answer=이해가 안 될지언정,approved,
