id,level,ko,de,en,field_notes,상태,jin_memo
cloze_b1_0080,B1,가능하면 오늘 안에 방문 시간과 예상 수리비를 알려 주시면 좋겠어요.,"Wenn möglich, wäre es hilfreich, wenn Sie mir noch heute die Besuchszeit und die voraussichtlichen Reparaturkosten mitteilen könnten.","If possible, I would appreciate it if you could tell me the visit time and estimated repair cost today.",rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
cloze_b1_0081,B1,난방이 계속 꺼져서 점검 일정을 다시 잡았습니다.,"Weil die Heizung immer wieder ausging, habe ich einen neuen Prüftermin vereinbart.","The heating kept switching off, so I rescheduled the inspection.",rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
cloze_b1_0082,B1,계약서를 확인해 보니 작은 부품은 세입자가 직접 부담해야 해요.,"Im Vertrag steht, dass der Mieter kleine Ersatzteile selbst bezahlen muss.",The contract says that the tenant has to cover the cost of small replacement parts.,rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
cloze_b1_0083,B1,누수가 다시 생기면 사진을 찍어 관리인에게 바로 연락하겠습니다.,"Wenn das Wasserleck erneut auftritt, fotografiere ich es und kontaktiere sofort die Hausverwaltung.","If the leak happens again, I will take a photo and contact the building manager immediately.",rights: original; clean-room seed seed_b1_repair_followup; course b1_05_complaint_resolution; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
cloze_b2_0166,B2,점검 결과와 후속 조치를 내일까지 서면으로 알려 주시기 바랍니다.,Bitte teilen Sie uns die Prüfergebnisse und Folgemaßnahmen bis morgen schriftlich mit.,Please provide the inspection results and follow-up action in writing by tomorrow.,rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
cloze_b2_0167,B2,같은 결함이 재발하면 담당 부서에 즉시 이의를 제기하겠습니다.,"Wenn derselbe Mangel erneut auftritt, werde ich sofort bei der zuständigen Abteilung Einspruch erheben.","If the same defect recurs, I will immediately raise an objection with the responsible department.",rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
cloze_b2_0168,B2,임시 조치와 재발 방지 계획을 구분해서 기록해 주시기 바랍니다.,Bitte dokumentieren Sie die vorläufige Maßnahme und den Plan zur Vermeidung eines erneuten Auftretens getrennt.,Please document the temporary measure and the recurrence-prevention plan separately.,rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
cloze_b2_0169,B2,위험이 확인되면 장비 사용을 즉시 정지해야 합니다.,"Wenn eine Gefahr festgestellt wird, muss die Nutzung des Geräts sofort eingestellt werden.","If a risk is confirmed, use of the equipment must stop immediately.",rights: original; clean-room seed seed_b2_device_escalation; course b2_04_complaint_resolution; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
cloze_c1_0049,C1,현재 자료만으로 확대를 확정하기는 어렵지만 추가 조사를 거치면 다시 검토할 여지가 있습니다.,"Mit den aktuellen Daten lässt sich der Ausbau noch nicht bestätigen, aber nach einer weiteren Erhebung besteht Spielraum für eine erneute Prüfung.","The current data is not enough to confirm the expansion, but further research would leave room to reconsider it.",rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
cloze_c1_0050,C1,표본이 한쪽으로 치우쳐서 전체 주민의 의견으로 일반화하기 어렵습니다.,"Die Stichprobe ist einseitig verzerrt, daher lässt sich das Ergebnis nicht auf alle Bewohner verallgemeinern.","The sample is skewed to one side, so the result cannot be generalized to all residents.",rights: original; clean-room seed seed_c1_survey_limits; course c1_01_evidence_public_reasoning; kind cloze,approved,Jin explicit app-integration approval (2026-08-17).
