id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a2_0311,a2,다음 달에 이사를 가요.,Nächsten Monat ziehe ich um.,I'm moving next month.,rights: original_clean_room; answer=이사를; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0504,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a2_0312,a2,"수진아, 방 정리는 내가 할게.","Sujin, ich räume das Zimmer auf.","Sujin, I'll tidy up the room.",rights: original_clean_room; answer=정리는; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0505,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a2_0313,a2,밤에는 혼자 외출을 안 해요.,Nachts gehe ich nicht allein aus.,I don't go out alone at night.,rights: original_clean_room; answer=외출을; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0506,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a2_0314,a2,날씨가 좋아서 빨래가 빨리 말랐어요.,"Das Wetter war schön, deshalb ist die Wäsche schnell getrocknet.","The weather was nice, so the laundry dried quickly.",rights: original_clean_room; answer=빨래가; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0507,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a2_0315,a2,쓰레기는 아침에 버려요.,Den Müll bringe ich morgens raus.,I take out the trash in the morning.,rights: original_clean_room; answer=쓰레기는; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0508,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a2_0316,a2,안 입는 옷을 다 버렸어요.,"Ich habe alle Kleider weggeworfen, die ich nicht mehr trage.",I threw away all the clothes I don't wear anymore.,rights: original_clean_room; answer=버렸어요; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0509,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a2_0317,a2,주말에는 낮잠을 좀 자요.,Am Wochenende mache ich einen Mittagsschlaf.,On weekends I take a little nap.,rights: original_clean_room; answer=낮잠을; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0510,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a2_0318,a2,주말마다 창문을 닦아요.,Jedes Wochenende putze ich die Fenster.,I clean the windows every weekend.,rights: original_clean_room; answer=닦아요; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0511,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a2_0319,a2,청소기 좀 돌리고 나갈게요.,Ich sauge noch kurz und gehe dann raus.,I'll run the vacuum quickly and then go out.,rights: original_clean_room; answer=돌리고; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0512,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
cloze_a2_0320,a2,숙제를 마치고 텔레비전을 봤어요.,Ich habe die Hausaufgaben beendet und dann ferngesehen.,I finished my homework and then watched TV.,rights: original_clean_room; answer=마치고; topic=Alltag; unit=a2_01_haeyo_transition; derived from vocab_a2_0513,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 30·31 표본 승인'; 7/62 (30) · 7/64 (31)); C3-T5 승격
