id,level,ko,de,en,field_notes,상태,jin_memo
pronunciation_b2_0005,B2,최근 관리비에 비추어 볼 때 이 집은 예산을 넘습니다.,Im Licht der letzten Nebenkosten überschreitet diese Wohnung das Budget.,"In light of the latest service charges, this flat exceeds the budget.",rights: original_clean_room; focus=근거 구절 뒤 의미 단위 끊기; scenario=b2_moving_rent_heating_budget; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0006,B2,월세가 낮아도 난방비를 더하면 총주거비가 높아질 수 있어요.,Auch bei niedriger Kaltmiete können die gesamten Wohnkosten mit der Heizung hoch sein.,"Even with low base rent, heating can make the total housing cost high.",rights: original_clean_room; focus=조건절과 결과절의 대비; scenario=b2_moving_rent_heating_budget; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0007,B2,계약 전에 추가 비용을 서면으로 확인해 주세요.,Bitte lassen Sie sich die Zusatzkosten vor Vertragsabschluss schriftlich bestätigen.,Please confirm the additional costs in writing before signing.,rights: original_clean_room; focus=공식 요청의 문장 끝 억양; scenario=b2_moving_rent_heating_budget; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0008,B2,자동 점수가 낮다고 해서 역량이 부족한 것은 아닙니다.,Ein niedriger automatischer Wert bedeutet nicht zwangsläufig fehlende Kompetenz.,A low automated score does not necessarily mean a lack of ability.,rights: original_clean_room; focus=인정과 반박의 억양 분리; scenario=b2_job_hunting_ai_screening; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0009,B2,정형화된 항목 밖의 경험은 맥락과 역할을 함께 설명해야 합니다.,Erfahrung außerhalb standardisierter Felder sollte mit Kontext und eigener Rolle erklärt werden.,Experience outside standard fields should be explained with context and role.,rights: original_clean_room; focus=병렬 명사구의 리듬; scenario=b2_job_hunting_ai_screening; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0010,B2,지원자는 사람의 재검토를 요청할 수 있어야 합니다.,Bewerbende sollten eine menschliche Nachprüfung verlangen können.,Applicants should be able to request human review.,rights: original_clean_room; focus=긴 목적어 뒤 호흡; scenario=b2_job_hunting_ai_screening; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0011,B2,처지가 다르기에 필요한 지원도 같을 수 없습니다.,"Da die Lebenslagen verschieden sind, kann die nötige Unterstützung nicht identisch sein.","Because situations differ, the support needed cannot be identical.",rights: original_clean_room; focus=이유와 결론의 연결; scenario=b2_daily_migration_neighborhood_meeting; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0012,B2,주택 부족과 정착 지원은 서로 연결되지만 같은 문제는 아닙니다.,"Wohnungsmangel und Unterstützung beim Ankommen hängen zusammen, sind aber nicht dasselbe Problem.",Housing shortages and settlement support are connected but are not the same issue.,rights: original_clean_room; focus=대조 접속의 짧은 쉼; scenario=b2_daily_migration_neighborhood_meeting; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0013,B2,자격 인정 절차를 알면 경력에 맞는 일자리를 찾기 쉬워집니다.,"Wer das Anerkennungsverfahren kennt, findet leichter eine Stelle passend zur Erfahrung.",Knowing the recognition process makes it easier to find work that matches one's experience.,rights: original_clean_room; focus=연속 받침과 조사 연결; scenario=b2_daily_migration_neighborhood_meeting; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0014,B2,처음 온 사람도 참여할 수 있다는 점에서 프로그램의 문턱이 낮아집니다.,"Das Programm wird insofern zugänglicher, als auch Neulinge teilnehmen können.",The program becomes more accessible in that newcomers can participate too.,rights: original_clean_room; focus=평가 근거를 강조하는 리듬; scenario=b2_kpop_local_festival_program; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0015,B2,짧은 영상의 조회수가 실제 행사 참여를 자동으로 보장하지는 않아요.,Viele Aufrufe eines Kurzvideos garantieren nicht automatisch echte Teilnahme.,High short-form views do not automatically guarantee participation at the event.,rights: original_clean_room; focus=긴 주어와 서술어의 균형; scenario=b2_kpop_local_festival_program; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_b2_0016,B2,팬 자원봉사자의 시간과 역할을 미리 나눠야 활동이 지속됩니다.,"Freiwillige Fanarbeit bleibt tragbar, wenn Zeit und Rollen vorher verteilt werden.",Fan volunteering stays sustainable when time and roles are divided in advance.,rights: original_clean_room; focus=병렬어와 조건절 끊기; scenario=b2_kpop_local_festival_program; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_c1_0005,C1,신규 계약을 따로 보는 한편 소득 대비 부담도 비교해야 합니다.,"Neuverträge sind gesondert zu betrachten, während zugleich die Belastung im Verhältnis zum Einkommen verglichen werden muss.",We should examine new leases separately while also comparing the burden with income.,rights: original_clean_room; focus=두 평가축 사이의 균형; scenario=c1_moving_rent_relief_roundtable; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_c1_0006,C1,같은 월세라도 에너지 비용에 따라 실제 부담은 달라집니다.,Auch bei gleicher Kaltmiete verändert sich die tatsächliche Belastung mit den Energiekosten.,"Even at the same base rent, the real burden changes with energy costs.",rights: original_clean_room; focus=삽입된 조건 뒤 초점 회복; scenario=c1_moving_rent_relief_roundtable; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_c1_0007,C1,지원 효과와 신청 과정의 행정 부담을 함께 평가해야 합니다.,Förderwirkung und Verwaltungsaufwand des Antrags müssen gemeinsam bewertet werden.,The effect of support and the administrative burden of applying must be evaluated together.,rights: original_clean_room; focus=병렬 목적어의 명료한 발음; scenario=c1_moving_rent_relief_roundtable; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_c1_0008,C1,직무별 표본이 작다는 점을 감안하면 결론을 유보해야 합니다.,Angesichts der kleinen Stichproben je Beruf sollte das Urteil zurückgestellt werden.,"Taking the small samples by job type into account, the conclusion should be deferred.",rights: original_clean_room; focus=긴 고려 조건 뒤 결론 강조; scenario=c1_work_ai_hiring_pilot_review; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_c1_0009,C1,처리 시간이 줄어든 사실과 공정성은 별도의 지표로 검증해야 합니다.,Kürzere Bearbeitungszeit und Fairness müssen mit getrennten Indikatoren geprüft werden.,Reduced processing time and fairness need separate measures.,rights: original_clean_room; focus=병렬 개념의 대조; scenario=c1_work_ai_hiring_pilot_review; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
pronunciation_c1_0010,C1,재검토가 결과를 바꾼 비율을 공개해야 절차를 평가할 수 있습니다.,Erst mit der Quote geänderter Ergebnisse lässt sich das Prüfverfahren bewerten.,The review process can only be evaluated if the rate of changed outcomes is disclosed.,rights: original_clean_room; focus=관형절이 긴 목적어 읽기; scenario=c1_work_ai_hiring_pilot_review; tts=not_generated,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
