id,level,ko,de,en,field_notes,상태,jin_memo
smalltalk_b2_0101,B2,그 집은 월세 말고 매달 더 내는 돈이 얼마나 돼요?,Wie viel kommt bei der Wohnung monatlich noch zur Kaltmiete hinzu?,How much do you pay each month on top of the base rent?,rights: original_clean_room; sourceSeedId=seed_batch17_b2_housing; canonicalScenarioId=b2_moving_rent_heating_budget; category=transport,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
smalltalk_b2_0102,B2,출근 시간이 줄어도 난방비가 크면 절약이 아니겠네요.,"Eine kürzere Fahrt ist keine Ersparnis, wenn die Heizkosten hoch sind.",A shorter commute is not a saving if the heating bill is high.,rights: original_clean_room; sourceSeedId=seed_batch17_b2_housing; canonicalScenarioId=b2_moving_rent_heating_budget; category=transport,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
smalltalk_b2_0103,B2,그 회사는 AI 선별 기준을 지원자에게 알려 줘요?,Teilt das Unternehmen Bewerbenden die Kriterien der KI-Vorauswahl mit?,Does the company tell applicants the criteria used by its AI screening?,rights: original_clean_room; sourceSeedId=seed_batch17_b2_work_ai; canonicalScenarioId=b2_job_hunting_ai_screening; category=job_hunting,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
smalltalk_b2_0104,B2,안정성만큼 일과 삶의 균형을 보는 지원자도 많아졌어요.,Für viele Bewerbende ist die Vereinbarkeit inzwischen ebenso wichtig wie Sicherheit.,"For many applicants, work-life balance now matters as much as stability.",rights: original_clean_room; sourceSeedId=seed_batch17_b2_work_ai; canonicalScenarioId=b2_job_hunting_ai_screening; category=job_hunting,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
smalltalk_b2_0105,B2,새로 이사 온 분들이 가장 필요하다고 한 정보가 뭐였어요?,Welche Information brauchten die neu Zugezogenen am dringendsten?,What information did the new arrivals say they needed most?,rights: original_clean_room; sourceSeedId=seed_batch17_b2_migration_demography; canonicalScenarioId=b2_daily_migration_neighborhood_meeting; category=daily,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
smalltalk_b2_0106,B2,집이 부족한 문제를 어느 한 집단의 탓으로만 말하면 해결이 멀어져요.,"Wenn Wohnungsmangel nur einer Gruppe angelastet wird, rückt die Lösung weiter weg.","When housing shortages are blamed on one group alone, solutions move further away.",rights: original_clean_room; sourceSeedId=seed_batch17_b2_migration_demography; canonicalScenarioId=b2_daily_migration_neighborhood_meeting; category=daily,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
smalltalk_b2_0107,B2,그 행사는 K-pop을 처음 듣는 사람도 즐길 수 있어요?,"Kann man das Festival auch genießen, wenn man K-Pop zum ersten Mal hört?",Can someone enjoy the festival if they are new to K-pop?,rights: original_clean_room; sourceSeedId=seed_batch17_b2_k_culture; canonicalScenarioId=b2_kpop_local_festival_program; category=kpop,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
smalltalk_b2_0108,B2,영상이 많이 퍼져도 신청 방법이 복잡하면 사람들은 멈춰요.,"Auch ein verbreitetes Video hilft wenig, wenn die Anmeldung kompliziert ist.",Even a widely shared video will not help if registration is complicated.,rights: original_clean_room; sourceSeedId=seed_batch17_b2_k_culture; canonicalScenarioId=b2_kpop_local_festival_program; category=screen,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
smalltalk_c1_0033,C1,평균 월세가 안정적이라는 말에 신규 계약도 포함돼요?,"Sind Neuverträge in der Aussage enthalten, die Durchschnittsmiete sei stabil?",Does the claim that average rent is stable include new leases?,rights: original_clean_room; sourceSeedId=seed_batch17_c1_housing; canonicalScenarioId=c1_moving_rent_relief_roundtable; category=daily,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
smalltalk_c1_0034,C1,지원액이 커도 신청이 너무 복잡하면 필요한 사람이 빠질 수 있어요.,"Auch eine hohe Förderung verfehlt Bedürftige, wenn der Antrag zu kompliziert ist.",Even generous support can miss people who need it if applying is too complex.,rights: original_clean_room; sourceSeedId=seed_batch17_c1_housing; canonicalScenarioId=c1_moving_rent_relief_roundtable; category=daily,approved,Jin explicit Batch 17 v2 app-integration approval (2026-08-22).
