id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0459,A1,회사원,"Angestellte/r, Büroangestellte/r",office worker,rights: original_clean_room; pack=a1_self_intro; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0460,A1,주부,Hausfrau/Hausmann,"housewife, homemaker",rights: original_clean_room; pack=a1_self_intro; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0461,A1,누구,wer,who,rights: original_clean_room; pack=a1_self_intro; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0462,A1,여러분,alle (Anrede an eine Gruppe),"everyone, all of you",rights: original_clean_room; pack=a1_self_intro; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0463,A1,우유,Milch,milk,rights: original_clean_room; pack=a1_food_2; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0464,A1,귤,Mandarine,"tangerine, mandarin orange",rights: original_clean_room; pack=a1_food_2; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0465,A1,바나나,Banane,banana,rights: original_clean_room; pack=a1_food_2; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0466,A1,케이크,"Kuchen, Torte",cake,rights: original_clean_room; pack=a1_food_2; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0467,A1,모레,übermorgen,the day after tomorrow,rights: original_clean_room; pack=a1_time_2; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0468,A1,그저께,vorgestern,the day before yesterday,rights: original_clean_room; pack=a1_time_2; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0469,A1,작년,letztes Jahr,last year,rights: original_clean_room; pack=a1_time_2; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0470,A1,내년,nächstes Jahr,next year,rights: original_clean_room; pack=a1_time_2; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0471,A1,한,ein(e) (Zählwort),one (counter modifier),rights: original_clean_room; pack=a1_numbers_3; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0472,A1,두,zwei (Zählwort),two (counter modifier),rights: original_clean_room; pack=a1_numbers_3; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0473,A1,세,drei (Zählwort),three (counter modifier),rights: original_clean_room; pack=a1_numbers_3; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0474,A1,어느,welche(r/s),which,rights: original_clean_room; pack=a1_numbers_3; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0475,A1,이따가,"später, gleich","later, in a bit",rights: original_clean_room; pack=a1_time_3; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0476,A1,바로,"sofort, direkt","right away, immediately",rights: original_clean_room; pack=a1_time_3; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0477,A1,주로,"hauptsächlich, meistens","mainly, usually",rights: original_clean_room; pack=a1_time_3; order=11; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
vocab_a1_0478,A1,어서,schnell; (어서 오세요) willkommen,"quickly, please (go ahead)",rights: original_clean_room; pack=a1_time_3; order=12; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 25 A1 reinforcement,approved,"Jin 승인 2026-09-15 (owner chat: 'batch_25_a1_jin_sample 승인'; 7/64 표본); C3-T2 승격, Fable R8 재검토 반영 2026-09-15"
