id,level,ko,de,en,field_notes,상태,jin_memo
a2_enrolment_class_signup,A2,오늘까지 신청할 수 있어요,Kann ich mich noch heute anmelden,Can I still sign up today,rights: original; shelf=a2_enrolment; grammar=V-(으)ㄹ 수 있다; gap answer=할,draft,
a2_enrolment_missing_document,A2,서류 하나가 빠졌어요,Ein Dokument fehlt,One document is missing,rights: original; shelf=a2_enrolment; grammar=V-(으)니까; gap answer=되니까,draft,
a2_enrolment_level_test,A2,반은 어떻게 정해지나요,Wie wird die Klasse festgelegt,How is the class decided,rights: original; shelf=a2_enrolment; grammar=V-나요?; gap answer=나오나요,draft,
a2_enrolment_change_class,A2,저녁반으로 옮기고 싶어요,Ich möchte in den Abendkurs wechseln,I want to move to the evening class,rights: original; shelf=a2_enrolment; grammar=V-아/어 보세요; gap answer=신청해,draft,
a2_booking_table_time,A2,일곱 시로 할까요,Sollen wir sieben Uhr nehmen,Shall we make it seven,rights: original; shelf=a2_booking; grammar=V-(으)ㄹ까요?; gap answer=할까요,draft,
a2_booking_change_date,A2,날짜를 하루 미룰 수 있어요,Kann ich einen Tag später kommen,Can I push it back a day,rights: original; shelf=a2_booking; grammar=V-거나; gap answer=거나,draft,
a2_booking_no_show_fee,A2,못 가면 돈을 내야 하나요,"Zahle ich, wenn ich nicht komme",Do I pay if I cannot come,rights: original; shelf=a2_booking; grammar=V-는 것 같다; gap answer=것,draft,
a2_booking_extra_person,A2,한 명 더 가도 돼요,Darf noch eine Person mit,Can one more person come,rights: original; shelf=a2_booking; grammar=V-네요; gap answer=되네요,draft,
b1_insurance_what_is_covered,B1,어디까지 보장되나요,Was ist davon abgedeckt,How far does the cover go,rights: original; shelf=b1_insurance; grammar=V-는데; gap answer=는데,draft,
b1_insurance_claim_documents,B1,청구하려면 뭐가 필요해요,Was brauche ich für die Erstattung,What do I need to file a claim,rights: original; shelf=b1_insurance; grammar=V-아/어 주시면 좋겠다; gap answer=주시면,draft,
b1_insurance_deductible_share,B1,병원에서는 다르게 말했어요,In der Praxis hieß es anders,The clinic said something different,rights: original; shelf=b1_insurance; grammar=V-다고 하다; gap answer=라고,draft,
b1_insurance_claim_rejected,B1,청구가 거절됐어요,Der Antrag wurde abgelehnt,My claim was rejected,rights: original; shelf=b1_insurance; grammar=V-(으)ㄴ 적이 있다; gap answer=적이,draft,
b1_incident_parking_scratch,B1,차에 긁힌 자국이 있어요,Am Auto ist ein Kratzer,There is a scratch on the car,rights: original; shelf=b1_incident; grammar=V-다고 하다; gap answer=다고,draft,
b1_incident_lost_item_desk,B1,가방을 두고 내렸어요,Ich habe die Tasche liegen lassen,I left my bag on board,rights: original; shelf=b1_incident; grammar=V-느라고; gap answer=느라고,draft,
b1_incident_leak_from_upstairs,B1,위층에서 물이 새요,Von oben tropft Wasser,Water is leaking from upstairs,rights: original; shelf=b1_incident; grammar=V-는데; gap answer=는데,draft,
b1_incident_witness_note,B1,본 것만 말씀드릴게요,"Ich sage nur, was ich gesehen habe",I'll only say what I saw,rights: original; shelf=b1_incident; grammar=V-(으)ㄴ 적이 있다; gap answer=적이,draft,
b1_cancellation_gym_membership,B1,헬스장을 그만두려고요,Ich möchte das Fitnessstudio kündigen,I want to end my gym membership,rights: original; shelf=b1_cancellation; grammar=V-아/어 주시면 좋겠다; gap answer=주시면,draft,
b1_cancellation_auto_payment,B1,자동결제를 끊고 싶어요,Ich will die Abbuchung stoppen,I want to stop the auto payment,rights: original; shelf=b1_cancellation; grammar=V-기로 하다; gap answer=하기로,draft,
b1_cancellation_move_out_notice,B1,계약을 연장 안 하려고요,Ich verlängere den Vertrag nicht,I am not renewing the lease,rights: original; shelf=b1_cancellation; grammar=V-았/었으면 좋겠다; gap answer=받았으면,draft,
b1_cancellation_early_penalty,B1,위약금이 생각보다 커요,Die Gebühr ist höher als gedacht,The penalty is bigger than I expected,rights: original; shelf=b1_cancellation; grammar=V-는데; gap answer=는데,draft,
b2_hiring_role_scope,B2,직무 범위를 확인하고자 합니다,Ich möchte den Aufgabenbereich klären,I would like to clarify the role's scope,rights: original; shelf=b2_hiring; grammar=V-고자; gap answer=하고자,draft,
b2_hiring_salary_band,B2,구간의 어디쯤입니까,Wo in der Spanne liegt es,Where in the band does it sit,rights: original; shelf=b2_hiring; grammar=V-는 대신에; gap answer=대신에,draft,
b2_hiring_reference_consent,B2,평판 조회 범위를 정하고 싶습니다,Ich möchte den Rahmen der Referenzen festlegen,I want to set the scope of reference checks,rights: original; shelf=b2_hiring; grammar=A/V-다는 점에서; gap answer=라는,draft,
b2_hiring_start_date,B2,입사일을 조정하고 싶습니다,Ich möchte den Starttermin anpassen,I would like to adjust the start date,rights: original; shelf=b2_hiring; grammar=V-도록 하다; gap answer=도록,draft,
b2_privacy_data_scope,B2,필수 항목만 남겨 주시기 바랍니다,Bitte nur die Pflichtangaben behalten,Please keep only the required fields,rights: original; shelf=b2_privacy; grammar=V-주시기를 요청하다; gap answer=를,draft,
b2_privacy_retention_period,B2,언제까지 보관하십니까,Wie lange speichern Sie das,How long do you keep it,rights: original; shelf=b2_privacy; grammar=V-(으)므로; gap answer=으므로,draft,
b2_privacy_third_party,B2,동의했다고 다 되는 건 아니지요,Zustimmung heißt nicht alles,Consent does not cover everything,rights: original; shelf=b2_privacy; grammar=-다고 해서 ~는 것은 아니다; gap answer=아니지요,draft,
b2_privacy_delete_request,B2,삭제 요청을 접수해 주십시오,Bitte nehmen Sie meinen Löschantrag auf,Please log my deletion request,rights: original; shelf=b2_privacy; grammar=V-는 한; gap answer=한,draft,
