id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a1_0715,A1,걸다,hängen,to hang,rights: original_clean_room; pack=a1_verbs_daily_1; order=1; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
vocab_a1_0716,A1,그리다,zeichnen,to draw,rights: original_clean_room; pack=a1_verbs_daily_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
vocab_a1_0717,A1,나다,(Fieber) bekommen,to have (a fever),rights: original_clean_room; pack=a1_verbs_daily_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
vocab_a1_0718,A1,넣다,hineinlegen,to put in,rights: original_clean_room; pack=a1_verbs_daily_1; order=4; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
vocab_a1_0719,A1,놀다,spielen,to play,rights: original_clean_room; pack=a1_verbs_daily_1; order=5; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
vocab_a1_0720,A1,되다,werden,to become,rights: original_clean_room; pack=a1_verbs_daily_1; order=6; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
vocab_a1_0721,A1,들다,halten,"to hold, to carry",rights: original_clean_room; pack=a1_verbs_daily_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
vocab_a1_0722,A1,부르다,singen,to sing,rights: original_clean_room; pack=a1_verbs_daily_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
vocab_a1_0723,A1,시키다,bestellen,to order,rights: original_clean_room; pack=a1_verbs_daily_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
vocab_a1_0724,A1,찍다,(ein Foto) machen,to take (a photo),rights: original_clean_room; pack=a1_verbs_daily_1; order=10; boss=false; seed: NIKL 2017 kiiq grade-1 headword selection (KOGL 1유형); C3 Batch 29 A1 reinforcement,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
