id,level,ko,de,en,field_notes,상태,jin_memo
satz_a1_0504,a1,"아, 텔레비전을 켜요.","Ach, ich mache den Fernseher an.","Oh, I'll turn on the TV.",rights: original_clean_room; vocabKo=켜다; unit=a1_12_daily_negation; source vocab_a1_0589,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0505,a1,"크리스티안 씨, 지금 잘까요? 불을 꺼요.","Christian, sollen wir jetzt schlafen? Ich mache das Licht aus.","Christian, shall we sleep now? I'll turn off the light.",rights: original_clean_room; vocabKo=끄다; unit=a1_12_daily_negation; source vocab_a1_0590,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0506,a1,와! 아기가 정말 많이 웃어요.,Wow! Das Baby lacht wirklich viel.,"Wow! The baby laughs a lot, really.",rights: original_clean_room; vocabKo=웃다; unit=a1_12_daily_negation; source vocab_a1_0591,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0507,a1,가방 안에 뭐가 있어요?,Was ist in der Tasche?,What's in the bag?,rights: original_clean_room; vocabKo=가방; unit=a1_09_home_daily_life; source vocab_a1_0592,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0508,a1,볼펜으로 이름을 써요.,Ich schreibe meinen Namen mit dem Kugelschreiber.,I write my name with the pen.,rights: original_clean_room; vocabKo=볼펜; unit=a1_09_home_daily_life; source vocab_a1_0593,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0509,a1,수첩에 이름을 써요.,Ich schreibe den Namen ins Notizbuch.,I write my name in the notebook.,rights: original_clean_room; vocabKo=수첩; unit=a1_09_home_daily_life; source vocab_a1_0594,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0510,a1,"레나 씨, 이 카메라로 찍어요!","Lena, lass uns mit dieser Kamera fotografieren!","Lena, let's take photos with this camera!",rights: original_clean_room; vocabKo=카메라; unit=a1_09_home_daily_life; source vocab_a1_0595,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0511,a1,저는 이 티셔츠를 입었어요.,Ich habe dieses T-Shirt getragen.,I wore this T-shirt.,rights: original_clean_room; vocabKo=티셔츠; unit=a1_09_home_daily_life; source vocab_a1_0596,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0512,a1,이 바지를 입고 싶어요.,Ich möchte diese Hose anziehen.,I want to wear these pants.,rights: original_clean_room; vocabKo=바지; unit=a1_09_home_daily_life; source vocab_a1_0597,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0513,a1,"크리스티안 씨, 운동화 신고 같이 갈까요?","Christian, sollen wir Sportschuhe anziehen und zusammen gehen?","Christian, shall we put on sneakers and go together?",rights: original_clean_room; vocabKo=운동화; unit=a1_09_home_daily_life; source vocab_a1_0598,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0514,a1,이 잔으로 물을 마셔요.,Ich trinke Wasser aus diesem Glas.,I drink water from this cup.,rights: original_clean_room; vocabKo=잔; unit=a1_09_home_daily_life; source vocab_a1_0599,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0515,a1,"수진 씨, 콘서트 표가 있어요!","Sujin, ich habe eine Konzertkarte!","Sujin, I have a concert ticket!",rights: original_clean_room; vocabKo=표; unit=a1_09_home_daily_life; source vocab_a1_0600,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0516,a1,아버지가 신문을 읽어요.,Mein Vater liest die Zeitung.,My father reads the newspaper.,rights: original_clean_room; vocabKo=신문; unit=a1_09_home_daily_life; source vocab_a1_0601,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0517,a1,"수진 씨, 이거 제 학생증 맞아요?","Sujin, ist das mein Studentenausweis, oder?","Sujin, is this my student ID, right?",rights: original_clean_room; vocabKo=학생증; unit=a1_09_home_daily_life; source vocab_a1_0602,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0518,a1,여권을 먼저 주세요.,Bitte geben Sie mir zuerst den Reisepass.,Please give me the passport first.,rights: original_clean_room; vocabKo=여권; unit=a1_09_home_daily_life; source vocab_a1_0603,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0519,a1,저는 기숙사에 살아요.,Ich wohne im Studentenwohnheim.,I live in the dormitory.,rights: original_clean_room; vocabKo=기숙사; unit=a1_06_transport_directions; source vocab_a1_0604,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0520,a1,저는 사무실에서 일해요.,Ich arbeite im Büro.,I work at the office.,rights: original_clean_room; vocabKo=사무실; unit=a1_06_transport_directions; source vocab_a1_0605,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0521,a1,이 아파트에 몇 명이 살아요?,Wie viele Leute wohnen in dieser Wohnung?,How many people live in this apartment?,rights: original_clean_room; vocabKo=아파트; unit=a1_06_transport_directions; source vocab_a1_0606,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0522,a1,우리 수영장에 갈까요?,Sollen wir ins Schwimmbad gehen?,Shall we go to the swimming pool?,rights: original_clean_room; vocabKo=수영장; unit=a1_06_transport_directions; source vocab_a1_0607,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0523,a1,아이가 운동장에서 놀아요.,Das Kind spielt auf dem Sportplatz.,The child plays on the sports ground.,rights: original_clean_room; vocabKo=운동장; unit=a1_06_transport_directions; source vocab_a1_0608,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0524,a1,우리 노래방에 갈까요?,Sollen wir in den Karaoke-Raum gehen?,Shall we go to the karaoke room?,rights: original_clean_room; vocabKo=노래방; unit=a1_06_transport_directions; source vocab_a1_0609,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0525,a1,독일 대사관이 어디에 있어요?,Wo ist die deutsche Botschaft?,Where is the German embassy?,rights: original_clean_room; vocabKo=대사관; unit=a1_06_transport_directions; source vocab_a1_0610,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0526,a1,여행사에 전화해요. 그럼 같이 가요.,Ich rufe das Reisebüro an. Dann gehen wir zusammen.,I'll call the travel agency. Then let's go together.,rights: original_clean_room; vocabKo=여행사; unit=a1_06_transport_directions; source vocab_a1_0611,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0527,a1,이 건물은 몇 층이에요?,Wie viele Stockwerke hat dieses Gebäude?,How many floors does this building have?,rights: original_clean_room; vocabKo=건물; unit=a1_06_transport_directions; source vocab_a1_0612,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0528,a1,이 근처에 커피숍이 있어요. 제가 알아요.,Es gibt ein Café hier in der Nähe. Ich weiß es.,There's a cafe near here. I know it.,rights: original_clean_room; vocabKo=근처; unit=a1_06_transport_directions; source vocab_a1_0613,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0529,a1,은행이 건너편에 있어요.,Die Bank ist auf der gegenüberliegenden Seite.,The bank is on the opposite side.,rights: original_clean_room; vocabKo=건너편; unit=a1_06_transport_directions; source vocab_a1_0614,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0530,a1,가게가 이 층에 있어요. 이거 예뻐요!,Der Laden ist auf dieser Etage. Das hier ist schön!,The shop is on this floor. This is pretty!,rights: original_clean_room; vocabKo=층; unit=a1_06_transport_directions; source vocab_a1_0615,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0531,a1,다음 주에 만나요.,Wir treffen uns nächste Woche.,See you next week.,rights: original_clean_room; vocabKo=다음; unit=a1_05_numbers_time; source vocab_a1_0616,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0532,a1,나중에 이야기해요.,Wir reden später.,Let's talk later.,rights: original_clean_room; vocabKo=나중; unit=a1_05_numbers_time; source vocab_a1_0617,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0533,a1,방학 동안 뭐 해요?,Was machst du während der Ferien?,What do you do during the vacation?,rights: original_clean_room; vocabKo=동안; unit=a1_05_numbers_time; source vocab_a1_0618,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0534,a1,오전에 운동해요.,Ich mache am Vormittag Sport.,I exercise in the morning.,rights: original_clean_room; vocabKo=오전; unit=a1_05_numbers_time; source vocab_a1_0619,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0535,a1,저는 오후에 산책해요.,Ich mache am Nachmittag einen Spaziergang.,I go for a walk in the afternoon.,rights: original_clean_room; vocabKo=오후; unit=a1_05_numbers_time; source vocab_a1_0620,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0536,a1,이번 달에 바빠요.,Diesen Monat bin ich beschäftigt.,I'm busy this month.,rights: original_clean_room; vocabKo=이번; unit=a1_05_numbers_time; source vocab_a1_0621,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0537,a1,지난달에 바빴어요.,Letzten Monat war ich beschäftigt.,I was busy last month.,rights: original_clean_room; vocabKo=지난달; unit=a1_05_numbers_time; source vocab_a1_0622,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0538,a1,지난주에 아팠어요.,Letzte Woche war ich krank.,I was sick last week.,rights: original_clean_room; vocabKo=지난주; unit=a1_05_numbers_time; source vocab_a1_0623,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0539,a1,지난해에 만났어요.,Wir haben uns letztes Jahr kennengelernt.,We met last year.,rights: original_clean_room; vocabKo=지난해; unit=a1_05_numbers_time; source vocab_a1_0624,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
satz_a1_0540,a1,일주일 동안 여행해요.,Ich reise eine Woche lang.,I travel for one week.,rights: original_clean_room; vocabKo=일주일; unit=a1_05_numbers_time; source vocab_a1_0625,approved,"Jin 승인 2026-09-16 (owner chat: 'Batch 26·27 승인'; 7/63 rows (Batch 27); Batch 26 approved together, 7/66 rows); C3-T3 승격"
