id,level,ko,de,en,field_notes,상태,jin_memo
a1_w10_taxi_stay,A1,택시 타고 숙소까지 가기,Mit dem Taxi zur Unterkunft,Taking a taxi to the guesthouse,W10 Wave 1; shelf a1_taxi_stay; backdrop taxi; 10 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a1_w10_eat,A1,카페에서 커피와 샌드위치 주문하기,Kaffee und Sandwich im Café bestellen,Ordering coffee and a sandwich at a café,W10 Wave 1; shelf a1_eat; backdrop cafe; 10 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a1_w10_repeat,A1,약국에서 다시 천천히 말해 달라고 하기,In der Apotheke um langsameres Sprechen bitten,Asking the pharmacist to repeat slowly,W10 Wave 1; shelf a1_repeat; backdrop pharmacy; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a1_w10_partner,A1,여자친구 집에 처음 인사드리러 가기,Zum ersten Mal die Familie der Freundin besuchen,Visiting your girlfriend's family for the first time,W10 Wave 1; shelf a1_partner; backdrop home; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a1_w10_numbers,A1,미용실에서 시간과 가격 확인하기,Im Friseursalon Zeit und Preis klären,Confirming the time and price at the hair salon,W10 Wave 1; shelf a1_numbers; backdrop salon; 10 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a1_w10_phone,A1,전화로 식당 자리 예약하기,Telefonisch einen Tisch reservieren,Booking a table by phone,W10 Wave 1; shelf a1_phone; backdrop restaurant; 10 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a1_w10_wayfinding,A1,지나가는 사람에게 은행 가는 길 묻기,Einen Passanten nach dem Weg zur Bank fragen,Asking a passerby for directions to the bank,W10 Wave 1; shelf a1_wayfinding; backdrop directions; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a1_w10_fandom,A1,굿즈 가게에서 좋아하는 가수 이야기하기,Im Fan-Shop über den Lieblingssänger reden,Talking about a favorite singer at the goods shop,W10 Wave 1; shelf a1_fandom; backdrop market; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a2_w10_money,A2,은행 계좌 만들기,Ein Bankkonto eröffnen,Opening a bank account,W10 Wave 1; shelf a2_money; backdrop bank; 9 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a2_w10_buy,A2,시장에서 장보기,Einkaufen auf dem Markt,Grocery shopping at the market,W10 Wave 1; shelf a2_buy; backdrop market; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a2_w10_apt,A2,분리수거 하는 날,Der Tag zum Mülltrennen,Recycling day,W10 Wave 1; shelf a2_apt; backdrop home; 9 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a2_w10_partner,A2,추석에 인사드리기 전에,Vor der Begrüßung zu Chuseok,Before greeting the family at Chuseok,W10 Wave 1; shelf a2_partner; backdrop home; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a2_w10_enrolment,A2,필라테스 수업 등록하기,Sich für einen Pilates-Kurs anmelden,Signing up for a Pilates class,W10 Wave 1; shelf a2_enrolment; backdrop office; 9 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a2_w10_booking,A2,식당 예약 전화하기,Einen Tisch im Restaurant reservieren,Calling to book a restaurant table,W10 Wave 1; shelf a2_booking; backdrop restaurant; 9 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a2_w10_friends,A2,저녁 먹고 노래방 갈까?,Sollen wir nach dem Essen ins Karaoke gehen?,Shall we go to karaoke after dinner?,W10 Wave 1; shelf a2_friends; backdrop restaurant; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
a2_w10_fandom,A2,굿즈 숍에서 줄 서기,In der Schlange am Goods-Shop,Waiting in line at the goods shop,W10 Wave 1; shelf a2_fandom; backdrop market; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
b1_w10_repair,B1,세탁기가 안 돌아갈 때,Wenn die Waschmaschine nicht mehr läuft,When the washing machine stops working,W10 Wave 1; shelf b1_repair; backdrop home; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
b1_w10_bill,B1,영수증에 잘못 찍힌 금액,Ein falscher Betrag auf der Quittung,A wrong amount on the receipt,W10 Wave 1; shelf b1_bill; backdrop cafe; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
b1_w10_form,B1,빠뜨린 서류와 마감일,Ein fehlendes Dokument und die Frist,A missing document and the deadline,W10 Wave 1; shelf b1_form; backdrop office; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
b1_w10_partner,B1,혼자만의 시간이 필요할 때,Wenn man Zeit für sich braucht,When you need some time alone,W10 Wave 1; shelf b1_partner; backdrop home; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
b1_w10_insurance,B1,실손보험 청구가 되는지 확인하기,"Prüfen, ob die Zusatzversicherung zahlt",Checking whether supplementary insurance covers it,W10 Wave 1; shelf b1_insurance; backdrop home; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
b1_w10_incident,B1,가벼운 접촉 사고 뒤에,Nach einem kleinen Unfall,After a minor accident,W10 Wave 1; shelf b1_incident; backdrop directions; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
b1_w10_cancellation,B1,헬스장 회원권 해지하기,Die Fitnessstudio-Mitgliedschaft kündigen,Cancelling a gym membership,W10 Wave 1; shelf b1_cancellation; backdrop office; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
b1_w10_friends,B1,갑자기 취소한 약속,Der plötzlich abgesagte Termin,The suddenly cancelled plan,W10 Wave 1; shelf b1_friends; backdrop cafe; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
b1_w10_fandom,B1,티켓팅에 실패했을 때,Wenn das Ticketing schiefgeht,When the ticketing fails,W10 Wave 1; shelf b1_fandom; backdrop cafe; 8 dialog turns and 3 quests.,approved,Fable (designer direct read) + Jin pending
