id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a2_0439,a2,가방을 의자 위에 놓았어요.,Ich habe die Tasche auf den Stuhl gelegt.,I put the bag on the chair.,rights: original_clean_room; answer=놓았어요; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0632,pending,
cloze_a2_0440,a2,여기를 누르면 물이 나와요.,"Wenn man hier drückt, kommt Wasser heraus.","If you press here, water comes out.",rights: original_clean_room; answer=누르면; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0633,pending,
cloze_a2_0441,a2,무거운 문을 두 손으로 밀었어요.,Ich habe die schwere Tür mit beiden Händen aufgeschoben.,I pushed the heavy door with both hands.,rights: original_clean_room; answer=밀었어요; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0634,pending,
cloze_a2_0442,a2,종이를 접어서 비행기를 만들었어요.,Ich habe Papier gefaltet und ein Flugzeug gemacht.,I folded paper and made an airplane.,rights: original_clean_room; answer=접어서; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0635,pending,
cloze_a2_0443,a2,비가 와서 우산을 폈어요.,"Es hat geregnet, deshalb habe ich den Regenschirm aufgespannt.","It rained, so I opened my umbrella.",rights: original_clean_room; answer=폈어요; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0636,pending,
cloze_a2_0444,a2,"엄마, 나 3학년 교실 벽에 그림 붙였어!","Mama, ich habe im Klassenzimmer der dritten Klasse ein Bild an die Wand geklebt!","Mom, I stuck a picture on the wall of the third-grade classroom!",rights: original_clean_room; answer=붙였어; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0637,pending,
cloze_a2_0445,a2,틀린 글자를 지우고 다시 썼어요.,Ich habe den falschen Buchstaben weggewischt und ihn noch einmal geschrieben.,I erased the wrong letter and wrote it again.,rights: original_clean_room; answer=지우고; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0638,pending,
cloze_a2_0446,a2,상처에 이 약을 하루에 두 번 바르세요.,Tragen Sie diese Salbe zweimal am Tag auf die Wunde auf.,Apply this ointment to the wound twice a day.,rights: original_clean_room; answer=바르세요; topic=Alltag; unit=(assigned at promotion); derived from vocab_a2_0639,pending,
cloze_a2_0447,a2,감기에 걸려서 기침이 계속 나요.,"Ich habe mich erkältet, deshalb muss ich ständig husten.","I caught a cold, so I keep coughing.",rights: original_clean_room; answer=기침이; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0640,pending,
cloze_a2_0448,a2,콧물이 나서 휴지로 코를 닦았어요.,"Meine Nase lief, deshalb habe ich mir mit einem Taschentuch die Nase abgewischt.","My nose was running, so I wiped it with a tissue.",rights: original_clean_room; answer=콧물이; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0641,pending,
cloze_a2_0449,a2,봄에는 재채기를 자주 해요.,Im Frühling muss ich oft niesen.,"In spring, I sneeze often.",rights: original_clean_room; answer=재채기를; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0642,pending,
cloze_a2_0450,a2,아이스크림을 많이 먹어서 배탈이 났어요.,"Ich habe viel Eis gegessen, deshalb habe ich mir den Magen verdorben.","I ate a lot of ice cream, so I got an upset stomach.",rights: original_clean_room; answer=배탈이; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0643,pending,
cloze_a2_0451,a2,넘어져서 손에 작은 상처가 생겼어요.,"Ich bin hingefallen, deshalb habe ich eine kleine Wunde an der Hand.","I fell down, so I got a small wound on my hand.",rights: original_clean_room; answer=상처가; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0644,pending,
cloze_a2_0452,a2,할머니가 다음 주에 수술을 받으세요.,Meine Großmutter wird nächste Woche operiert.,My grandmother is having surgery next week.,rights: original_clean_room; answer=수술을; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0645,pending,
cloze_a2_0453,a2,친구가 다리를 다쳐서 입원을 했어요.,Mein Freund hat sich das Bein verletzt und liegt im Krankenhaus.,My friend hurt his leg and was hospitalized.,rights: original_clean_room; answer=입원을; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0646,pending,
cloze_a2_0454,a2,내일 퇴원이라서 기분이 좋아요.,"Morgen werde ich aus dem Krankenhaus entlassen, deshalb bin ich gut gelaunt.","I'm being discharged tomorrow, so I'm in a good mood.",rights: original_clean_room; answer=퇴원이라서; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0647,pending,
cloze_a2_0455,a2,치과에서 치료를 받고 있어요.,Ich bin beim Zahnarzt in Behandlung.,I'm getting treatment at the dentist.,rights: original_clean_room; answer=치료를; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0648,pending,
cloze_a2_0456,a2,배가 아파서 내과에 갔어요.,"Ich hatte Bauchschmerzen, deshalb bin ich zum Internisten gegangen.","I had a stomachache, so I went to the internal medicine clinic.",rights: original_clean_room; answer=내과에; topic=Gesundheit; unit=(assigned at promotion); derived from vocab_a2_0649,pending,
