id,level,ko,de,en,field_notes,상태,jin_memo
satz_a2_0624,a2,가방을 의자 위에 놓았어요.,Ich habe die Tasche auf den Stuhl gelegt.,I put the bag on the chair.,rights: original_clean_room; vocabKo=놓다; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0632,pending,
satz_a2_0625,a2,여기를 누르면 물이 나와요.,"Wenn man hier drückt, kommt Wasser heraus.","If you press here, water comes out.",rights: original_clean_room; vocabKo=누르다; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0633,pending,
satz_a2_0626,a2,무거운 문을 두 손으로 밀었어요.,Ich habe die schwere Tür mit beiden Händen aufgeschoben.,I pushed the heavy door with both hands.,rights: original_clean_room; vocabKo=밀다; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0634,pending,
satz_a2_0627,a2,종이를 접어서 비행기를 만들었어요.,Ich habe Papier gefaltet und ein Flugzeug gemacht.,I folded paper and made an airplane.,rights: original_clean_room; vocabKo=접다; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0635,pending,
satz_a2_0628,a2,비가 와서 우산을 폈어요.,"Es hat geregnet, deshalb habe ich den Regenschirm aufgespannt.","It rained, so I opened my umbrella.",rights: original_clean_room; vocabKo=펴다; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0636,pending,
satz_a2_0629,a2,"엄마, 나 3학년 교실 벽에 그림 붙였어!","Mama, ich habe im Klassenzimmer der dritten Klasse ein Bild an die Wand geklebt!","Mom, I stuck a picture on the wall of the third-grade classroom!",rights: original_clean_room; vocabKo=붙이다; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0637,pending,
satz_a2_0630,a2,틀린 글자를 지우고 다시 썼어요.,Ich habe den falschen Buchstaben weggewischt und ihn noch einmal geschrieben.,I erased the wrong letter and wrote it again.,rights: original_clean_room; vocabKo=지우다; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0638,pending,
satz_a2_0631,a2,상처에 이 약을 하루에 두 번 바르세요.,Tragen Sie diese Salbe zweimal am Tag auf die Wunde auf.,Apply this ointment to the wound twice a day.,rights: original_clean_room; vocabKo=바르다; topic=Alltag; unit=(assigned at promotion); source vocab_a2_0639,pending,
satz_a2_0632,a2,감기에 걸려서 기침이 계속 나요.,"Ich habe mich erkältet, deshalb muss ich ständig husten.","I caught a cold, so I keep coughing.",rights: original_clean_room; vocabKo=기침; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0640,pending,
satz_a2_0633,a2,콧물이 나서 휴지로 코를 닦았어요.,"Meine Nase lief, deshalb habe ich mir mit einem Taschentuch die Nase abgewischt.","My nose was running, so I wiped it with a tissue.",rights: original_clean_room; vocabKo=콧물; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0641,pending,
satz_a2_0634,a2,봄에는 재채기를 자주 해요.,Im Frühling muss ich oft niesen.,"In spring, I sneeze often.",rights: original_clean_room; vocabKo=재채기; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0642,pending,
satz_a2_0635,a2,아이스크림을 많이 먹어서 배탈이 났어요.,"Ich habe viel Eis gegessen, deshalb habe ich mir den Magen verdorben.","I ate a lot of ice cream, so I got an upset stomach.",rights: original_clean_room; vocabKo=배탈; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0643,pending,
satz_a2_0636,a2,넘어져서 손에 작은 상처가 생겼어요.,"Ich bin hingefallen, deshalb habe ich eine kleine Wunde an der Hand.","I fell down, so I got a small wound on my hand.",rights: original_clean_room; vocabKo=상처; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0644,pending,
satz_a2_0637,a2,할머니가 다음 주에 수술을 받으세요.,Meine Großmutter wird nächste Woche operiert.,My grandmother is having surgery next week.,rights: original_clean_room; vocabKo=수술; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0645,pending,
satz_a2_0638,a2,친구가 다리를 다쳐서 입원을 했어요.,Mein Freund hat sich das Bein verletzt und liegt im Krankenhaus.,My friend hurt his leg and was hospitalized.,rights: original_clean_room; vocabKo=입원; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0646,pending,
satz_a2_0639,a2,내일 퇴원이라서 기분이 좋아요.,"Morgen werde ich aus dem Krankenhaus entlassen, deshalb bin ich gut gelaunt.","I'm being discharged tomorrow, so I'm in a good mood.",rights: original_clean_room; vocabKo=퇴원; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0647,pending,
satz_a2_0640,a2,치과에서 치료를 받고 있어요.,Ich bin beim Zahnarzt in Behandlung.,I'm getting treatment at the dentist.,rights: original_clean_room; vocabKo=치료; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0648,pending,
satz_a2_0641,a2,배가 아파서 내과에 갔어요.,"Ich hatte Bauchschmerzen, deshalb bin ich zum Internisten gegangen.","I had a stomachache, so I went to the internal medicine clinic.",rights: original_clean_room; vocabKo=내과; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0649,pending,
satz_a2_0642,a2,이가 아파서 치과에 예약을 했어요.,"Ich hatte Zahnschmerzen, deshalb habe ich einen Termin beim Zahnarzt gemacht.","I had a toothache, so I made an appointment at the dentist.",rights: original_clean_room; vocabKo=치과; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0650,pending,
satz_a2_0643,a2,약을 먹고 푹 쉬면 감기가 빨리 나아요.,"Wenn man Medizin nimmt und sich richtig ausruht, geht die Erkältung schnell vorbei.","If you take medicine and rest well, the cold gets better quickly.",rights: original_clean_room; vocabKo=낫다; topic=Gesundheit; unit=(assigned at promotion); source vocab_a2_0651,pending,
satz_a2_0644,a2,시험 전에는 항상 긴장이 돼요.,Vor Prüfungen bin ich immer nervös.,"Before exams, I always get nervous.",rights: original_clean_room; vocabKo=긴장; topic=Gefühle; unit=(assigned at promotion); source vocab_a2_0652,pending,
satz_a2_0645,a2,"수진 씨, 먼저 자신을 믿으세요.","Sujin, glaub zuerst an dich selbst.","Sujin, believe in yourself first.",rights: original_clean_room; vocabKo=자신; topic=Gefühle; unit=(assigned at promotion); source vocab_a2_0653,pending,
