id,level,ko,de,en,field_notes,상태,jin_memo
satz_a2_0560,a2,가방이 너무 무거워서 어깨가 아파요.,"Die Tasche ist zu schwer, deshalb tut meine Schulter weh.","The bag is too heavy, so my shoulder hurts.",rights: original_clean_room; vocabKo=어깨; topic=Körper; unit=(assigned at promotion); source vocab_a2_0568,pending,
satz_a2_0561,a2,너무 뛰어서 가슴이 아파요.,"Ich bin zu viel gerannt, deshalb tut meine Brust weh.","I ran too much, so my chest hurts.",rights: original_clean_room; vocabKo=가슴; topic=Körper; unit=(assigned at promotion); source vocab_a2_0569,pending,
satz_a2_0562,a2,의자에 오래 앉아서 허리가 아파요.,"Ich habe lange auf dem Stuhl gesessen, deshalb tut meine Taille weh.","I sat on the chair for a long time, so my waist hurts.",rights: original_clean_room; vocabKo=허리; topic=Körper; unit=(assigned at promotion); source vocab_a2_0570,pending,
satz_a2_0563,a2,"레나 씨, 제 손가락이 길어요.","Lena, meine Finger sind lang.","Lena, my fingers are long.",rights: original_clean_room; vocabKo=손가락; topic=Körper; unit=(assigned at promotion); source vocab_a2_0571,pending,
satz_a2_0564,a2,긴장해서 손바닥에 땀이 났어요.,"Ich war nervös, deshalb hatte ich Schweiß in der Handfläche.","I was nervous, so my palm got sweaty.",rights: original_clean_room; vocabKo=손바닥; topic=Körper; unit=(assigned at promotion); source vocab_a2_0572,pending,
satz_a2_0565,a2,신발이 작아서 발가락이 아파요.,"Die Schuhe sind zu klein, deshalb tun meine Zehen weh.","The shoes are too small, so my toes hurt.",rights: original_clean_room; vocabKo=발가락; topic=Körper; unit=(assigned at promotion); source vocab_a2_0573,pending,
satz_a2_0566,a2,많이 걸어서 발바닥이 아파요.,"Ich bin viel gelaufen, deshalb tut meine Fußsohle weh.","I walked a lot, so the sole of my foot hurts.",rights: original_clean_room; vocabKo=발바닥; topic=Körper; unit=(assigned at promotion); source vocab_a2_0574,pending,
satz_a2_0567,a2,이마에 땀이 많이 났어요.,Auf meiner Stirn ist viel Schweiß.,There is a lot of sweat on my forehead.,rights: original_clean_room; vocabKo=이마; topic=Körper; unit=(assigned at promotion); source vocab_a2_0575,pending,
satz_a2_0568,a2,매운 음식을 먹어서 혀가 아파요.,"Ich habe scharfes Essen gegessen, deshalb tut meine Zunge weh.","I ate spicy food, so my tongue hurts.",rights: original_clean_room; vocabKo=혀; topic=Körper; unit=(assigned at promotion); source vocab_a2_0576,pending,
satz_a2_0569,a2,"수진 씨, 목소리가 하나도 안 들려요!","Sujin, ich kann Sie überhaupt nicht hören!","Sujin, I can't hear you at all!",rights: original_clean_room; vocabKo=목소리; topic=Körper; unit=(assigned at promotion); source vocab_a2_0577,pending,
satz_a2_0570,a2,너무 피곤해서 침대에 누웠어요.,"Ich war zu müde, deshalb habe ich mich ins Bett gelegt.","I was too tired, so I lay down on the bed.",rights: original_clean_room; vocabKo=눕다; topic=Körper; unit=(assigned at promotion); source vocab_a2_0578,pending,
satz_a2_0571,a2,날씨가 더워서 땀을 많이 흘렸어요.,"Das Wetter war heiß, deshalb habe ich viel geschwitzt.","The weather was hot, so I sweated a lot.",rights: original_clean_room; vocabKo=흘리다; topic=Körper; unit=(assigned at promotion); source vocab_a2_0579,pending,
satz_a2_0572,a2,여름에는 시원한 국수를 자주 먹어요.,Im Sommer esse ich oft kühle Nudeln.,"In summer, I often eat cold noodles.",rights: original_clean_room; vocabKo=국수; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0580,pending,
satz_a2_0573,a2,비빔밥에 고추장을 넣어요.,Man gibt Chilipaste in den Bibimbap.,You put gochujang into bibimbap.,rights: original_clean_room; vocabKo=고추장; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0581,pending,
satz_a2_0574,a2,저희 어머니는 된장을 직접 만드세요.,Meine Mutter macht Sojabohnenpaste selbst.,My mother makes doenjang herself.,rights: original_clean_room; vocabKo=된장; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0582,pending,
satz_a2_0575,a2,찌개에 두부를 많이 넣었어요.,Ich habe viel Tofu in den Eintopf gegeben.,I put a lot of tofu in the stew.,rights: original_clean_room; vocabKo=두부; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0583,pending,
satz_a2_0576,a2,주말에 친구들이랑 삼겹살을 구워 먹었어요.,Am Wochenende habe ich mit Freunden Schweinebauch gegrillt und gegessen.,"On the weekend, I grilled and ate pork belly with friends.",rights: original_clean_room; vocabKo=삼겹살; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0584,pending,
satz_a2_0577,a2,남은 김치로 볶음밥을 만들었어요.,Ich habe aus übrig gebliebenem Kimchi gebratenen Reis gemacht.,I made fried rice with the leftover kimchi.,rights: original_clean_room; vocabKo=볶음밥; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0585,pending,
satz_a2_0578,a2,추운 날에는 뜨거운 설렁탕이 최고예요.,An kalten Tagen ist heiße Rinderknochensuppe am besten.,"On a cold day, hot seolleongtang is the best.",rights: original_clean_room; vocabKo=설렁탕; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0586,pending,
satz_a2_0579,a2,생일에는 가족이 소고기를 먹어요.,Am Geburtstag isst die Familie Rindfleisch.,"On birthdays, my family eats beef.",rights: original_clean_room; vocabKo=소고기; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0587,pending,
satz_a2_0580,a2,비 오는 날에는 뜨거운 우동이 최고예요.,An Regentagen sind heiße Udon-Nudeln das Beste.,"On a rainy day, hot udon is the best.",rights: original_clean_room; vocabKo=우동; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0588,pending,
satz_a2_0581,a2,여름에는 시원한 오이를 많이 먹어요.,Im Sommer esse ich viel kühle Gurke.,"In summer, I eat a lot of cool cucumber.",rights: original_clean_room; vocabKo=오이; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0589,pending,
satz_a2_0582,a2,찌개가 끓으면 불을 줄여 주세요.,"Wenn der Eintopf kocht, drehen Sie bitte die Hitze runter.","When the stew boils, please turn down the heat.",rights: original_clean_room; vocabKo=끓다; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0590,pending,
satz_a2_0583,a2,두부를 잘게 썰어서 찌개에 넣었어요.,Ich habe den Tofu klein geschnitten und in den Eintopf gegeben.,I sliced the tofu finely and put it in the stew.,rights: original_clean_room; vocabKo=썰다; topic=Essen & Trinken; unit=(assigned at promotion); source vocab_a2_0591,pending,
