id,level,ko,de,en,field_notes,상태,jin_memo
cloze_b2_0374,B2,계약서의 월세만 보지 말고 총주거비를 먼저 계산해 봅시다.,"Schauen wir nicht nur auf die Kaltmiete, sondern berechnen wir zuerst die gesamten Wohnkosten.",Let's not look only at the base rent; let's calculate the total housing costs first.,rights: original_clean_room; answer=총주거비; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0375,B2,임대료 인상 통보를 받으면 적용 날짜와 근거부터 확인하세요.,Prüfen Sie bei einer angekündigten Mieterhöhung zuerst das Datum und die Begründung.,"When you receive notice of a rent increase, check the effective date and basis first.",rights: original_clean_room; answer=임대료 인상; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0376,B2,소득에서 집에 쓰는 돈이 커질수록 주거 부담도 커집니다.,"Je größer der Anteil der Wohnkosten am Einkommen ist, desto höher ist die Wohnkostenbelastung.","The larger the share of income spent on housing, the greater the housing-cost burden.",rights: original_clean_room; answer=주거 부담; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0377,B2,자동 선별에서 탈락한 지원서도 사람이 다시 볼 수 있어야 합니다.,"Auch Bewerbungen, die bei der automatisierten Vorauswahl ausscheiden, sollten von einem Menschen erneut geprüft werden können.",Applications rejected during automated screening should still be eligible for human review.,rights: original_clean_room; answer=자동 선별; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0378,B2,회사는 지원자에게 사람의 재검토를 요청할 방법을 알려 줬습니다.,"Das Unternehmen erklärte den Bewerbenden, wie sie eine menschliche Nachprüfung beantragen können.",The company told applicants how to request human review.,rights: original_clean_room; answer=사람의 재검토; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0379,B2,채용 기준이 공개되어야 지원자도 결과를 이해할 수 있습니다.,Nur bei offengelegten Einstellungskriterien können Bewerbende das Ergebnis nachvollziehen.,Applicants can understand the outcome only when the hiring criteria are disclosed.,rights: original_clean_room; answer=채용 기준; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0380,B2,정착 지원에는 언어 수업뿐 아니라 집과 행정 정보도 필요합니다.,Zur Unterstützung beim Ankommen gehören neben Sprachkursen auch Informationen zu Wohnung und Verwaltung.,Settlement support requires housing and administrative information as well as language classes.,rights: original_clean_room; answer=정착 지원; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0381,B2,자격 인정 절차가 길어지면 경력이 있어도 일을 시작하기 어렵습니다.,"Wenn sich die Anerkennung von Qualifikationen hinzieht, ist der Berufseinstieg trotz Erfahrung schwierig.","When recognition of qualifications takes too long, even experienced people struggle to start work.",rights: original_clean_room; answer=자격 인정; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0382,B2,인력 부족을 해결하려면 채용뿐 아니라 오래 일할 조건도 마련해야 합니다.,"Um Personalmangel zu lösen, braucht es nicht nur Einstellungen, sondern auch Bedingungen für langfristige Beschäftigung.","Addressing a labor shortage requires conditions for people to stay, not recruitment alone.",rights: original_clean_room; answer=인력 부족; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0383,B2,현지화는 번역만이 아니라 지역 맥락에 맞게 설명하는 일도 포함합니다.,"Lokalisierung umfasst nicht nur Übersetzung, sondern auch Erklärungen für den jeweiligen lokalen Kontext.","Localization includes explaining content for the local context, not just translating it.",rights: original_clean_room; answer=현지화; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0384,B2,팬 번역을 쓸 때는 만든 사람의 이름과 수정 책임을 분명히 해야 합니다.,Bei Fanübersetzungen sollten Urheberschaft und Verantwortung für Korrekturen klar sein.,"When using a fan translation, credit and responsibility for corrections should be clear.",rights: original_clean_room; answer=팬 번역; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_b2_0385,B2,조회수가 같아도 댓글과 행사 참여 방식은 지역마다 다를 수 있습니다.,Bei gleichen Aufrufzahlen kann sich die Form der Beteiligung je nach Region unterscheiden.,"Even with similar view counts, the form of participation can vary by region.",rights: original_clean_room; answer=참여 방식; topic=Gesellschaft & Alltag 2026; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_c1_0233,C1,평균 월세를 인용할 때는 지표의 한계와 조사 범위도 함께 밝혀야 합니다.,"Wer die Durchschnittsmiete nennt, muss auch die Grenzen der Kennzahl und den Erhebungsbereich offenlegen.","When citing average rent, you should also state the limits of the indicator and the survey scope.",rights: original_clean_room; answer=지표의 한계; topic=Gesellschaft im Wandel; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_c1_0234,C1,신규 계약이 적게 포함된 표본 구성이라면 현재 부담을 낮게 보일 수 있습니다.,Eine Stichprobe mit wenigen Neuverträgen kann die aktuelle Belastung zu niedrig erscheinen lassen.,A sample composition with few new leases can make the current burden look lower than it is.,rights: original_clean_room; answer=표본 구성; topic=Gesellschaft im Wandel; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_c1_0235,C1,두 값이 함께 올랐다는 사실만으로 인과관계를 단정할 수는 없습니다.,"Dass zwei Werte zugleich steigen, belegt noch keinen Kausalzusammenhang.",The fact that two values rose together does not establish a causal relationship.,rights: original_clean_room; answer=인과관계; topic=Gesellschaft im Wandel; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_c1_0236,C1,자동화의 평균 효과보다 집단별 분배 효과를 따로 살펴야 합니다.,Neben dem Durchschnittseffekt der Automatisierung muss ihre Verteilungswirkung nach Gruppen geprüft werden.,"We need to examine the distributional effect across groups, not only automation's average effect.",rights: original_clean_room; answer=분배 효과; topic=Gesellschaft im Wandel; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
cloze_c1_0237,C1,제도를 바꾸기 전에 지원자와 채용 담당자를 모두 이해관계자로 불러야 합니다.,Vor einer Regeländerung sollten sowohl Bewerbende als auch Personalverantwortliche als Interessengruppen einbezogen werden.,"Before changing the system, applicants and hiring staff should both be included as stakeholders.",rights: original_clean_room; answer=이해관계자; topic=Gesellschaft im Wandel; derived=1:1,approved,Jin explicit app-integration approval (2026-08-22).
