id,level,ko,de,en,field_notes,상태,jin_memo
cloze_a1_0649,a1,저는 방에 그림을 걸어요.,Ich hänge ein Bild im Zimmer auf.,I hang a picture in the room.,rights: original_clean_room; answer=걸어요; topic=Zuhause; unit=a1_12_daily_negation; derived from vocab_a1_0715,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0650,a1,저는 그림을 그려요.,Ich zeichne ein Bild.,I draw a picture.,rights: original_clean_room; answer=그려요; topic=Bildung; unit=a1_12_daily_negation; derived from vocab_a1_0716,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0651,a1,저는 어제 열이 났어요.,Ich hatte gestern Fieber.,I had a fever yesterday.,rights: original_clean_room; answer=났어요; topic=Körper; unit=a1_12_daily_negation; derived from vocab_a1_0717,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0652,a1,저는 가방에 책을 넣어요.,Ich stecke ein Buch in die Tasche.,I put a book in my bag.,rights: original_clean_room; answer=넣어요; topic=Alltag; unit=a1_12_daily_negation; derived from vocab_a1_0718,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0653,a1,"크리스티안 씨, 우리 같이 놀까요?","Christian, sollen wir zusammen spielen?","Christian, shall we play together?",rights: original_clean_room; answer=놀까요; topic=Freizeit; unit=a1_12_daily_negation; derived from vocab_a1_0719,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0654,a1,저는 의사가 되고 싶어요.,Ich möchte Arzt werden.,I want to become a doctor.,rights: original_clean_room; answer=되고 싶어요; topic=Beruf; unit=a1_12_daily_negation; derived from vocab_a1_0720,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0655,a1,저는 가방을 들어요.,Ich halte die Tasche.,I hold the bag.,rights: original_clean_room; answer=들어요; topic=Alltag; unit=a1_12_daily_negation; derived from vocab_a1_0721,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0656,a1,마야 씨가 노래를 불러요.,Maya singt ein Lied.,Maya sings a song.,rights: original_clean_room; answer=불러요; topic=Freizeit; unit=a1_12_daily_negation; derived from vocab_a1_0722,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0657,a1,저는 커피를 시켜요.,Ich bestelle einen Kaffee.,I order a coffee.,rights: original_clean_room; answer=시켜요; topic=Essen & Trinken; unit=a1_12_daily_negation; derived from vocab_a1_0723,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0658,a1,저는 사진을 찍어요.,Ich mache ein Foto.,I take a photo.,rights: original_clean_room; answer=찍어요; topic=Technologie; unit=a1_12_daily_negation; derived from vocab_a1_0724,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0659,a1,레나 씨가 춤을 춰요.,Lena tanzt.,Lena dances.,rights: original_clean_room; answer=춰요; topic=Freizeit; unit=a1_12_daily_negation; derived from vocab_a1_0725,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0660,a1,저는 테니스를 쳐요.,Ich spiele Tennis.,I play tennis.,rights: original_clean_room; answer=쳐요; topic=Sport; unit=a1_12_daily_negation; derived from vocab_a1_0726,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0661,a1,저는 어제 시장에 다녀왔어요.,Ich war gestern auf dem Markt.,I went to the market yesterday.,rights: original_clean_room; answer=다녀왔어요; topic=Alltag; unit=a1_12_daily_negation; derived from vocab_a1_0727,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
cloze_a1_0662,a1,저는 집에 돌아가요.,Ich gehe nach Hause zurück.,I go back home.,rights: original_clean_room; answer=돌아가요; topic=Alltag; unit=a1_12_daily_negation; derived from vocab_a1_0728,approved,Jin 승인 2026-09-16 (owner chat: 'Batch 29 표본 승인'; 7/64); C3-T4 승격
