id,level,ko,de,en,field_notes,상태,jin_memo
vocab_a2_0632,A2,놓다,"hinlegen, hinstellen","to put, to place",rights: original_clean_room; pack=a2_daily_actions_1; order=5; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0633,A2,누르다,drücken,to press,rights: original_clean_room; pack=a2_daily_actions_1; order=6; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0634,A2,밀다,"schieben, aufdrücken (Tür)",to push,rights: original_clean_room; pack=a2_daily_actions_1; order=7; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0635,A2,접다,falten,to fold,rights: original_clean_room; pack=a2_daily_actions_1; order=8; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0636,A2,펴다,"aufspannen, ausbreiten","to open (umbrella), to unfold",rights: original_clean_room; pack=a2_daily_actions_1; order=9; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0637,A2,붙이다,"ankleben, anbringen","to stick, to attach",rights: original_clean_room; pack=a2_daily_actions_1; order=10; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0638,A2,지우다,"wegwischen, löschen",to erase,rights: original_clean_room; pack=a2_daily_actions_1; order=11; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0639,A2,바르다,"auftragen (Salbe, Creme)",to apply (ointment),rights: original_clean_room; pack=a2_daily_actions_1; order=12; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0640,A2,기침,Husten,cough,rights: original_clean_room; pack=a2_health_symptoms_1; order=1; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0641,A2,콧물,"laufende Nase, Nasensekret",runny nose,rights: original_clean_room; pack=a2_health_symptoms_1; order=2; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0642,A2,재채기,Niesen,sneeze,rights: original_clean_room; pack=a2_health_symptoms_1; order=3; boss=false; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
vocab_a2_0643,A2,배탈,Magenverstimmung,upset stomach,rights: original_clean_room; pack=a2_health_symptoms_1; order=4; boss=true; seed: NIKL 2017 kiiq grade-2 headword selection (KOGL 1유형); C3 Batch 33 A2 reinforcement,pending,
